,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20758,San Marino,SMR,2021-03-18,7328.0,7299.0,29.0,1.0,34017.0,21.456918599523767
20759,San Marino,SMR,2021-03-19,7923.0,7888.0,35.0,1.0,34017.0,23.18840579710145
20760,San Marino,SMR,2021-03-22,8553.0,8293.0,260.0,0.0,34017.0,24.37898697709969
20761,San Marino,SMR,2021-03-23,9084.0,8578.0,506.0,1.0,34017.0,25.216803363024372
20762,San Marino,SMR,2021-03-24,9461.0,8607.0,854.0,2.0,34017.0,25.30205485492548
20763,San Marino,SMR,2021-03-26,10308.0,8633.0,1675.0,0.0,34017.0,25.378487226974748
20764,San Marino,SMR,2021-03-30,11759.0,8779.0,2980.0,0.0,34017.0,25.80768439309757
20765,San Marino,SMR,2021-03-31,12341.0,8818.0,3523.0,0.0,34017.0,25.922332951171473
20766,San Marino,SMR,2021-04-02,12950.0,8829.0,4121.0,0.0,34017.0,25.954669723961548
20767,San Marino,SMR,2021-04-03,13475.0,8830.0,4645.0,0.0,34017.0,25.957609430578827
20768,San Marino,SMR,2021-04-06,14102.0,8837.0,5265.0,0.0,34017.0,25.978187376899786
20769,San Marino,SMR,2021-04-07,14797.0,8876.0,5921.0,0.0,34017.0,26.092835934973692
20770,San Marino,SMR,2021-04-08,15673.0,9021.0,6652.0,0.0,34017.0,26.51909339447923
20771,San Marino,SMR,2021-04-09,16407.0,9187.0,7220.0,0.0,34017.0,27.007084692947647
20772,San Marino,SMR,2021-04-10,16889.0,9187.0,7702.0,0.0,34017.0,27.007084692947647
20773,San Marino,SMR,2021-04-13,18835.0,10437.0,8398.0,0.0,34017.0,30.681717964547143
20774,San Marino,SMR,2021-04-15,20424.0,11989.0,8435.0,0.0,34017.0,35.244142634565065
20775,San Marino,SMR,2021-04-16,21384.0,12948.0,8436.0,2.0,34017.0,38.0633212805362
20776,San Marino,SMR,2021-04-17,21390.0,12948.0,8442.0,0.0,34017.0,38.0633212805362
20777,San Marino,SMR,2021-04-18,21905.0,13460.0,8445.0,0.0,34017.0,39.56845106858336
20778,San Marino,SMR,2021-04-20,23272.0,14699.0,8573.0,0.0,34017.0,43.21074756739278
20779,San Marino,SMR,2021-04-21,24262.0,15621.0,8641.0,0.0,34017.0,45.92115706852456
20780,San Marino,SMR,2021-04-22,25141.0,16486.0,8655.0,1.0,34017.0,48.46400329247141
20781,San Marino,SMR,2021-04-23,26025.0,17368.0,8657.0,1.0,34017.0,51.05682452891202
20782,San Marino,SMR,2021-04-26,26895.0,18234.0,8661.0,0.0,34017.0,53.60261045947614
20783,San Marino,SMR,2021-04-27,27752.0,19091.0,8661.0,0.0,34017.0,56.12193903048476
20784,San Marino,SMR,2021-04-29,28970.0,20269.0,8701.0,0.0,34017.0,59.58491342564012
20785,San Marino,SMR,2021-05-02,29941.0,20963.0,8978.0,0.0,34017.0,61.625069818032166
20786,San Marino,SMR,2021-05-04,30964.0,21172.0,9792.0,0.0,34017.0,62.2394685010436
20787,San Marino,SMR,2021-05-05,31886.0,21192.0,10694.0,0.0,34017.0,62.298262633389186
20788,San Marino,SMR,2021-05-07,34011.0,21389.0,12622.0,0.0,34017.0,62.87738483699327
20789,San Marino,SMR,2021-05-23,42067.0,21390.0,20677.0,0.0,34017.0,62.880324543610534
20790,San Marino,SMR,2021-05-24,42187.0,21507.0,20680.0,0.0,34017.0,63.22427021783226
20791,San Marino,SMR,2021-05-25,42447.0,21511.0,20936.0,0.0,34017.0,63.23602904430138
20792,San Marino,SMR,2021-05-26,42448.0,21512.0,20936.0,0.0,34017.0,63.23896875091866
20793,San Marino,SMR,2021-05-27,42476.0,21537.0,20939.0,0.0,34017.0,63.31246141635065
20794,San Marino,SMR,2021-05-30,42529.0,21571.0,20958.0,0.0,34017.0,63.41241144133816
20795,San Marino,SMR,2021-05-31,42934.0,21580.0,21354.0,0.0,34017.0,63.43886880089367
20796,San Marino,SMR,2021-06-01,42935.0,21581.0,21354.0,0.0,34017.0,63.441808507510956
20797,San Marino,SMR,2021-06-03,42936.0,21581.0,21355.0,0.0,34017.0,63.441808507510956
20798,San Marino,SMR,2021-06-06,42962.0,21607.0,21355.0,0.0,34017.0,63.518240879560224
20799,San Marino,SMR,2021-06-07,43192.0,21612.0,21580.0,0.0,34017.0,63.532939412646606
20800,San Marino,SMR,2021-12-12,52043.0,24282.0,21623.0,0.0,34017.0,71.38195608078314
20801,San Marino,SMR,2021-12-19,53942.0,24306.0,21625.0,0.0,34017.0,71.45250903959784
