,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22081,Solomon Islands,SLB,2021-06-21,21469.0,18042.0,3427.0,0.0,712630.0,2.5317485932391284
22082,Solomon Islands,SLB,2021-06-29,21742.0,18050.0,3692.0,0.0,712630.0,2.5328711954310092
22083,Solomon Islands,SLB,2021-07-13,25628.0,19641.0,5987.0,0.0,712630.0,2.7561287063412987
22084,Solomon Islands,SLB,2021-07-20,27820.0,20538.0,7282.0,0.0,712630.0,2.882000477105932
22085,Solomon Islands,SLB,2021-07-27,39363.0,29429.0,9934.0,0.0,712630.0,4.1296324881074336
22086,Solomon Islands,SLB,2021-08-02,40404.0,29429.0,10975.0,0.0,712630.0,4.1296324881074336
22087,Solomon Islands,SLB,2021-08-09,56621.0,43466.0,13155.0,0.0,712630.0,6.099378359036247
22088,Solomon Islands,SLB,2021-08-16,63320.0,48883.0,14437.0,0.0,712630.0,6.859520368213519
22089,Solomon Islands,SLB,2021-08-31,71601.0,53974.0,17627.0,0.0,712630.0,7.573916338071648
22090,Solomon Islands,SLB,2021-09-14,97744.0,74573.0,23171.0,0.0,712630.0,10.464476656890673
22091,Solomon Islands,SLB,2021-10-05,130204.0,104760.0,25444.0,0.0,712630.0,14.700475702678807
22092,Solomon Islands,SLB,2021-10-12,141920.0,113423.0,28497.0,0.0,712630.0,15.916113551211708
22093,Solomon Islands,SLB,2021-10-25,152832.0,121778.0,31054.0,0.0,712630.0,17.088531215357197
22094,Solomon Islands,SLB,2021-11-08,171562.0,135995.0,35567.0,0.0,712630.0,19.08353563560333
22095,Solomon Islands,SLB,2021-11-22,193817.0,150777.0,43040.0,0.0,712630.0,21.15782383565104
22096,Solomon Islands,SLB,2021-11-30,208046.0,161521.0,46525.0,0.0,712630.0,22.665478579346924
22097,Solomon Islands,SLB,2021-12-13,228912.0,176593.0,52319.0,0.0,712630.0,24.780461108850318
22098,Solomon Islands,SLB,2021-12-20,235918.0,179973.0,55945.0,0.0,712630.0,25.254760534919942
