,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22099,Somalia,SOM,2021-05-27,129461.0,128519.0,942.0,0.0,16593738.0,0.7745030083034937
22100,Somalia,SOM,2021-05-31,134133.0,129419.0,4714.0,1.0,16593738.0,0.7799267410393005
22101,Somalia,SOM,2021-06-02,137618.0,129419.0,8199.0,0.0,16593738.0,0.7799267410393005
22102,Somalia,SOM,2021-06-08,142018.0,129419.0,12599.0,0.0,16593738.0,0.7799267410393005
22103,Somalia,SOM,2021-06-09,143379.0,129733.0,13646.0,0.0,16593738.0,0.7818190211271263
22104,Somalia,SOM,2021-06-12,154986.0,135107.0,19879.0,0.0,16593738.0,0.8142047319295991
22105,Somalia,SOM,2021-06-14,156548.0,135107.0,21441.0,0.0,16593738.0,0.8142047319295991
22106,Somalia,SOM,2021-06-17,158709.0,135107.0,23602.0,0.0,16593738.0,0.8142047319295991
22107,Somalia,SOM,2021-06-18,159923.0,135107.0,24816.0,0.0,16593738.0,0.8142047319295991
22108,Somalia,SOM,2021-06-20,163978.0,135107.0,28871.0,0.0,16593738.0,0.8142047319295991
22109,Somalia,SOM,2021-06-22,178264.0,135107.0,43157.0,0.0,16593738.0,0.8142047319295991
22110,Somalia,SOM,2021-06-23,190399.0,135760.0,54639.0,0.0,16593738.0,0.8181399513479121
22111,Somalia,SOM,2021-06-28,204176.0,137981.0,66195.0,0.0,16593738.0,0.8315245184659419
22112,Somalia,SOM,2021-06-29,208415.0,138603.0,69812.0,0.0,16593738.0,0.8352729204233548
22113,Somalia,SOM,2021-07-06,234363.0,149336.0,85027.0,0.0,16593738.0,0.8999539464827033
22114,Somalia,SOM,2021-07-08,235882.0,149996.0,85886.0,0.0,16593738.0,0.9039313504889616
22115,Somalia,SOM,2021-07-11,249790.0,162655.0,87135.0,0.0,16593738.0,0.9802191646029365
22116,Somalia,SOM,2021-08-21,282522.0,188765.0,93757.0,0.0,16593738.0,1.1375676776383958
22117,Somalia,SOM,2021-08-30,291053.0,194876.0,96177.0,10.0,16593738.0,1.1743948229145236
22118,Somalia,SOM,2021-09-01,295107.0,197682.0,97425.0,8.0,16593738.0,1.1913048163108275
22119,Somalia,SOM,2021-09-06,310005.0,207256.0,102749.0,0.0,16593738.0,1.2490012798803982
22120,Somalia,SOM,2021-09-11,339599.0,223498.0,116200.0,0.0,16593738.0,1.34688157665259
22121,Somalia,SOM,2021-09-15,351305.0,231089.0,120216.0,9.0,16593738.0,1.392627749094267
22122,Somalia,SOM,2021-09-20,390141.0,241945.0,148196.0,9.0,16593738.0,1.4580500186275087
22123,Somalia,SOM,2021-09-23,430762.0,249200.0,181599.0,0.0,16593738.0,1.501771330847817
22124,Somalia,SOM,2021-09-26,464359.0,250415.0,213944.0,4.0,16593738.0,1.5090933700411564
22125,Somalia,SOM,2021-09-28,477075.0,251458.0,225617.0,8.0,16593738.0,1.5153788736449858
22126,Somalia,SOM,2021-09-29,495041.0,259041.0,236000.0,0.0,16593738.0,1.5610768351290107
22127,Somalia,SOM,2021-10-06,542501.0,297741.0,244760.0,0.0,16593738.0,1.7942973427687
22128,Somalia,SOM,2021-10-14,599715.0,341084.0,258631.0,0.0,16593738.0,2.055498284955445
22129,Somalia,SOM,2021-10-17,647129.0,361937.0,285192.0,0.0,16593738.0,2.181166172444087
22130,Somalia,SOM,2021-10-26,654862.0,363102.0,291760.0,0.0,16593738.0,2.1881868931521042
22131,Somalia,SOM,2021-10-31,668104.0,363367.0,304737.0,0.0,16593738.0,2.1897838811243133
22132,Somalia,SOM,2021-11-03,681532.0,365791.0,315741.0,0.0,16593738.0,2.204391801292753
22133,Somalia,SOM,2021-11-05,691649.0,371167.0,320482.0,86.0,16593738.0,2.236789564834638
22134,Somalia,SOM,2021-11-13,964433.0,589128.0,564612.0,0.0,16593738.0,3.5503031324226035
22135,Somalia,SOM,2021-12-09,1147627.0,892093.0,664422.0,0.0,16593738.0,5.3760822305378095
22136,Somalia,SOM,2021-12-20,1369400.0,1088665.0,745600.0,0.0,16593738.0,6.560697776474474
22137,Somalia,SOM,2021-12-23,1453959.0,1164923.0,770720.0,0.0,16593738.0,7.020256677549084
