,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22608,South Sudan,SSD,2021-06-14,18863.0,17350.0,1513.0,0.0,11476909.0,0.15117310767210926
22609,South Sudan,SSD,2021-06-20,29410.0,27338.0,2072.0,0.0,11476909.0,0.2382000240657132
22610,South Sudan,SSD,2021-06-24,32959.0,30849.0,2110.0,0.0,11476909.0,0.2687918846442017
22611,South Sudan,SSD,2021-06-28,44920.0,42166.0,2754.0,0.0,11476909.0,0.367398573954015
22612,South Sudan,SSD,2021-07-05,48461.0,45074.0,3387.0,0.0,11476909.0,0.3927364066404988
22613,South Sudan,SSD,2021-07-13,55915.0,51571.0,4344.0,0.0,11476909.0,0.4493457254039393
22614,South Sudan,SSD,2021-07-19,56989.0,52226.0,4763.0,0.0,11476909.0,0.4550528369615896
22615,South Sudan,SSD,2021-08-30,57150.0,52387.0,4763.0,0.0,11476909.0,0.4564556536956074
22616,South Sudan,SSD,2021-09-06,59865.0,53147.0,6718.0,0.0,11476909.0,0.463077645731965
22617,South Sudan,SSD,2021-09-08,67109.0,55182.0,11927.0,0.0,11476909.0,0.4808089007240538
22618,South Sudan,SSD,2021-09-19,96041.0,69157.0,26884.0,0.0,11476909.0,0.6025751358662859
22619,South Sudan,SSD,2021-09-22,100621.0,72173.0,28448.0,0.0,11476909.0,0.6288539884737259
22620,South Sudan,SSD,2021-09-23,103751.0,74198.0,29553.0,0.0,11476909.0,0.6464981119916521
22621,South Sudan,SSD,2021-10-01,108602.0,77546.0,31053.0,2.0,11476909.0,0.6756697295412902
22622,South Sudan,SSD,2021-10-08,113013.0,81061.0,31952.0,0.0,11476909.0,0.7062964427094438
22623,South Sudan,SSD,2021-10-11,115650.0,82889.0,32761.0,0.0,11476909.0,0.7222240761863669
22624,South Sudan,SSD,2021-10-17,120467.0,84658.0,35809.0,0.0,11476909.0,0.7376376339657307
22625,South Sudan,SSD,2021-10-20,122889.0,84658.0,38231.0,1.0,11476909.0,0.7376376339657307
22626,South Sudan,SSD,2021-10-25,127200.0,84839.0,42361.0,0.0,11476909.0,0.7392147136480737
22627,South Sudan,SSD,2021-10-27,129751.0,84839.0,44912.0,0.0,11476909.0,0.7392147136480737
22628,South Sudan,SSD,2021-10-29,134371.0,84839.0,49532.0,0.0,11476909.0,0.7392147136480737
22629,South Sudan,SSD,2021-11-05,140418.0,84839.0,55579.0,0.0,11476909.0,0.7392147136480737
22630,South Sudan,SSD,2021-11-06,144576.0,84839.0,59737.0,0.0,11476909.0,0.7392147136480737
22631,South Sudan,SSD,2021-11-09,151245.0,84839.0,66406.0,0.0,11476909.0,0.7392147136480737
22632,South Sudan,SSD,2021-11-23,218154.0,185148.0,133315.0,0.0,11476909.0,1.613221817825688
22633,South Sudan,SSD,2021-12-06,257941.0,219733.0,172441.0,0.0,11476909.0,1.9145660212170368
22634,South Sudan,SSD,2021-12-12,263939.0,223920.0,177419.0,0.0,11476909.0,1.951047969448917
22635,South Sudan,SSD,2021-12-15,268640.0,227262.0,181577.0,0.0,11476909.0,1.9801673081140576
