,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23089,Sudan,SDN,2021-05-30,358236.0,320305.0,37931.0,5.0,45440834.0,0.7048836295566231
23090,Sudan,SDN,2021-06-02,402114.0,360721.0,41393.0,31.0,45440834.0,0.7938256590977182
23091,Sudan,SDN,2021-06-07,465197.0,404397.0,60800.0,1.0,45440834.0,0.8899418527397627
23092,Sudan,SDN,2021-06-08,483520.0,417209.0,66311.0,7.0,45440834.0,0.9181367577892606
23093,Sudan,SDN,2021-06-14,539843.0,453690.0,86153.0,1.0,45440834.0,0.9984191751410196
23094,Sudan,SDN,2021-06-20,629692.0,520928.0,108764.0,0.0,45440834.0,1.146387410055018
23095,Sudan,SDN,2021-06-28,671423.0,550291.0,121132.0,0.0,45440834.0,1.2110055022317592
23096,Sudan,SDN,2021-06-29,677957.0,554095.0,123862.0,0.0,45440834.0,1.2193768274587564
23097,Sudan,SDN,2021-07-18,810560.0,627833.0,182727.0,1.0,45440834.0,1.3816493772979606
23098,Sudan,SDN,2021-08-22,1129054.0,645926.0,241564.0,0.0,45440834.0,1.4214659880582297
23099,Sudan,SDN,2021-09-08,1255213.0,646192.0,339947.0,0.0,45440834.0,1.4220513646382458
23100,Sudan,SDN,2021-09-14,1423327.0,648840.0,505413.0,0.0,45440834.0,1.4278787224723912
23101,Sudan,SDN,2021-09-19,1499982.0,649062.0,581846.0,0.0,45440834.0,1.4283672698436833
23102,Sudan,SDN,2021-12-08,3276654.0,2782463.0,1234386.0,1.0,45440834.0,6.123265695343533
23103,Sudan,SDN,2021-12-15,5251235.0,4016849.0,1234386.0,42.0,45440834.0,8.839734323538162
