,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23342,Switzerland,CHE,2020-12-21,1.0,1.0,1.0,99.0,8747093.0,1.1432369588387824e-05
23343,Switzerland,CHE,2020-12-22,3.0,3.0,1.0,89.0,8747093.0,3.429710876516347e-05
23344,Switzerland,CHE,2020-12-23,430.0,406.0,1.0,82.0,8747093.0,0.004641542052885457
23345,Switzerland,CHE,2020-12-24,694.0,669.0,1.0,81.0,8747093.0,0.0076482552546314544
23346,Switzerland,CHE,2020-12-25,695.0,670.0,1.0,89.0,8747093.0,0.007659687624219841
23347,Switzerland,CHE,2020-12-26,1131.0,1106.0,1.0,63.0,8747093.0,0.012644200764756931
23348,Switzerland,CHE,2020-12-27,1131.0,1106.0,1.0,96.0,8747093.0,0.012644200764756931
23349,Switzerland,CHE,2020-12-28,2761.0,2705.0,4.0,92.0,8747093.0,0.030924559736589058
23350,Switzerland,CHE,2020-12-29,4457.0,4369.0,7.0,83.0,8747093.0,0.0499480227316664
23351,Switzerland,CHE,2020-12-30,6131.0,6030.0,8.0,78.0,8747093.0,0.06893718861797858
23352,Switzerland,CHE,2020-12-31,6384.0,6282.0,9.0,92.0,8747093.0,0.0718181457542523
23353,Switzerland,CHE,2021-01-01,6392.0,6288.0,10.0,82.0,8747093.0,0.07188673997178263
23354,Switzerland,CHE,2021-01-02,6396.0,6292.0,10.0,76.0,8747093.0,0.07193246945013618
23355,Switzerland,CHE,2021-01-03,6399.0,6293.0,10.0,70.0,8747093.0,0.07194390181972457
23356,Switzerland,CHE,2021-01-04,10075.0,9923.0,11.0,67.0,8747093.0,0.11344340342557235
23357,Switzerland,CHE,2021-01-05,17221.0,17029.0,13.0,51.0,8747093.0,0.19468182172065626
23358,Switzerland,CHE,2021-01-06,23069.0,22699.0,17.0,64.0,8747093.0,0.2595033572868152
23359,Switzerland,CHE,2021-01-07,30294.0,29768.0,23.0,63.0,8747093.0,0.3403187779071287
23360,Switzerland,CHE,2021-01-08,38340.0,37640.0,41.0,65.0,8747093.0,0.4303143913069176
23361,Switzerland,CHE,2021-01-09,40491.0,39784.0,46.0,49.0,8747093.0,0.4548253917044211
23362,Switzerland,CHE,2021-01-10,40525.0,39817.0,47.0,69.0,8747093.0,0.4552026599008379
23363,Switzerland,CHE,2021-01-11,47947.0,47124.0,57.0,58.0,8747093.0,0.5387389844831878
23364,Switzerland,CHE,2021-01-12,58393.0,57444.0,64.0,59.0,8747093.0,0.6567210386353499
23365,Switzerland,CHE,2021-01-13,69487.0,68297.0,190.0,55.0,8747093.0,0.7807965457781231
23366,Switzerland,CHE,2021-01-14,80106.0,78731.0,257.0,59.0,8747093.0,0.9000818900633617
23367,Switzerland,CHE,2021-01-15,90894.0,89267.0,311.0,49.0,8747093.0,1.0205333360466158
23368,Switzerland,CHE,2021-01-16,95260.0,93609.0,316.0,65.0,8747093.0,1.0701726847993955
23369,Switzerland,CHE,2021-01-17,95924.0,94270.0,319.0,51.0,8747093.0,1.07772948109732
23370,Switzerland,CHE,2021-01-18,108172.0,105663.0,1074.0,37.0,8747093.0,1.2079784678178225
23371,Switzerland,CHE,2021-01-19,125498.0,122123.0,1778.0,38.0,8747093.0,1.396155271242686
23372,Switzerland,CHE,2021-01-20,146041.0,141581.0,2690.0,62.0,8747093.0,1.6186063186935364
23373,Switzerland,CHE,2021-01-21,169341.0,164089.0,3262.0,46.0,8747093.0,1.8759260933889692
23374,Switzerland,CHE,2021-01-22,189377.0,183416.0,3752.0,47.0,8747093.0,2.0968795004237406
23375,Switzerland,CHE,2021-01-23,195222.0,189142.0,3848.0,44.0,8747093.0,2.1623412486868494
23376,Switzerland,CHE,2021-01-24,196406.0,190312.0,3860.0,46.0,8747093.0,2.1757171211052637
23377,Switzerland,CHE,2021-01-25,213796.0,206101.0,5315.0,49.0,8747093.0,2.3562228045363187
23378,Switzerland,CHE,2021-01-26,238921.0,228373.0,7885.0,32.0,8747093.0,2.610844540008892
23379,Switzerland,CHE,2021-01-27,263377.0,250653.0,9871.0,41.0,8747093.0,2.8655577344381724
23380,Switzerland,CHE,2021-01-28,290321.0,274656.0,12562.0,34.0,8747093.0,3.139968901668245
23381,Switzerland,CHE,2021-01-29,314381.0,295554.0,15506.0,42.0,8747093.0,3.3788825613263747
23382,Switzerland,CHE,2021-01-30,320748.0,301051.0,16359.0,36.0,8747093.0,3.441726296953742
23383,Switzerland,CHE,2021-01-31,322240.0,302537.0,16361.0,30.0,8747093.0,3.4587147981620867
23384,Switzerland,CHE,2021-02-01,338575.0,314452.0,20637.0,27.0,8747093.0,3.594931481807728
23385,Switzerland,CHE,2021-02-02,358207.0,328125.0,26342.0,31.0,8747093.0,3.7512462711897534
23386,Switzerland,CHE,2021-02-03,377561.0,341888.0,31660.0,24.0,8747093.0,3.908589973834736
23387,Switzerland,CHE,2021-02-04,398271.0,355321.0,38729.0,19.0,8747093.0,4.0621609945155495
23388,Switzerland,CHE,2021-02-05,417896.0,367732.0,45769.0,24.0,8747093.0,4.204048133477031
23389,Switzerland,CHE,2021-02-06,421252.0,369551.0,47300.0,22.0,8747093.0,4.224843613758308
23390,Switzerland,CHE,2021-02-07,422446.0,370473.0,47573.0,26.0,8747093.0,4.235384258518802
23391,Switzerland,CHE,2021-02-08,441011.0,380312.0,56091.0,19.0,8747093.0,4.347867342898949
23392,Switzerland,CHE,2021-02-09,466635.0,394632.0,67178.0,20.0,8747093.0,4.5115788754046635
23393,Switzerland,CHE,2021-02-10,493689.0,411158.0,77350.0,16.0,8747093.0,4.70051021522236
23394,Switzerland,CHE,2021-02-11,521389.0,427274.0,88542.0,23.0,8747093.0,4.884754283508818
23395,Switzerland,CHE,2021-02-12,547975.0,443317.0,98692.0,14.0,8747093.0,5.068163788815324
23396,Switzerland,CHE,2021-02-13,554919.0,446704.0,102239.0,15.0,8747093.0,5.106885224611194
23397,Switzerland,CHE,2021-02-14,556265.0,447541.0,102746.0,18.0,8747093.0,5.116454117956675
23398,Switzerland,CHE,2021-02-15,575217.0,457332.0,111720.0,22.0,8747093.0,5.228388448596579
23399,Switzerland,CHE,2021-02-16,600266.0,469829.0,124021.0,19.0,8747093.0,5.371258771342663
23400,Switzerland,CHE,2021-02-17,624534.0,480283.0,137590.0,8.0,8747093.0,5.4907727630196685
23401,Switzerland,CHE,2021-02-18,653221.0,491909.0,154278.0,9.0,8747093.0,5.623685491854267
23402,Switzerland,CHE,2021-02-19,677857.0,501507.0,169027.0,10.0,8747093.0,5.733413375163613
23403,Switzerland,CHE,2021-02-20,685140.0,504224.0,173579.0,14.0,8747093.0,5.764475123335261
23404,Switzerland,CHE,2021-02-21,686793.0,505033.0,174419.0,15.0,8747093.0,5.773723910332268
23405,Switzerland,CHE,2021-02-22,706860.0,511995.0,187353.0,11.0,8747093.0,5.853316067406622
23406,Switzerland,CHE,2021-02-23,733521.0,521645.0,204028.0,9.0,8747093.0,5.963638433934567
23407,Switzerland,CHE,2021-02-24,761875.0,531479.0,222225.0,10.0,8747093.0,6.076064356466771
23408,Switzerland,CHE,2021-02-25,791556.0,541428.0,241579.0,8.0,8747093.0,6.189805001501641
23409,Switzerland,CHE,2021-02-26,816444.0,549765.0,257809.0,10.0,8747093.0,6.285116666760031
23410,Switzerland,CHE,2021-02-27,823018.0,551956.0,262187.0,9.0,8747093.0,6.3101649885281885
23411,Switzerland,CHE,2021-02-28,825011.0,552570.0,263565.0,10.0,8747093.0,6.317184463455459
23412,Switzerland,CHE,2021-03-01,847377.0,562934.0,275232.0,7.0,8747093.0,6.435669541869509
23413,Switzerland,CHE,2021-03-02,873328.0,574103.0,289571.0,8.0,8747093.0,6.563357677802213
23414,Switzerland,CHE,2021-03-03,905252.0,589659.0,305546.0,11.0,8747093.0,6.741199619119175
23415,Switzerland,CHE,2021-03-04,938993.0,606935.0,321597.0,9.0,8747093.0,6.938705236128165
23416,Switzerland,CHE,2021-03-05,968338.0,621592.0,335895.0,9.0,8747093.0,7.106269477185164
23417,Switzerland,CHE,2021-03-06,974634.0,624967.0,338739.0,10.0,8747093.0,7.144853724545971
23418,Switzerland,CHE,2021-03-07,976595.0,625997.0,339670.0,8.0,8747093.0,7.156629065222012
23419,Switzerland,CHE,2021-03-08,1000061.0,638837.0,349981.0,9.0,8747093.0,7.303420690736911
23420,Switzerland,CHE,2021-03-09,1030603.0,656100.0,362939.0,10.0,8747093.0,7.500777686941251
23421,Switzerland,CHE,2021-03-10,1060879.0,674787.0,374114.0,8.0,8747093.0,7.714414377439454
23422,Switzerland,CHE,2021-03-11,1093209.0,693816.0,387030.0,12.0,8747093.0,7.931960938336885
23423,Switzerland,CHE,2021-03-12,1120815.0,709657.0,398473.0,13.0,8747093.0,8.113061104986537
23424,Switzerland,CHE,2021-03-13,1126841.0,713439.0,400714.0,9.0,8747093.0,8.15629832676982
23425,Switzerland,CHE,2021-03-14,1128289.0,714423.0,401176.0,14.0,8747093.0,8.167547778444794
23426,Switzerland,CHE,2021-03-15,1149433.0,725184.0,411356.0,9.0,8747093.0,8.290571507585435
23427,Switzerland,CHE,2021-03-16,1178352.0,740101.0,425033.0,9.0,8747093.0,8.461108164735416
23428,Switzerland,CHE,2021-03-17,1210171.0,755580.0,440934.0,11.0,8747093.0,8.63806981359407
23429,Switzerland,CHE,2021-03-18,1243708.0,772464.0,457130.0,13.0,8747093.0,8.831093941724413
23430,Switzerland,CHE,2021-03-19,1271840.0,787203.0,470190.0,9.0,8747093.0,8.999595637087658
23431,Switzerland,CHE,2021-03-20,1278056.0,790597.0,473012.0,9.0,8747093.0,9.038397099470648
23432,Switzerland,CHE,2021-03-21,1279410.0,791559.0,473404.0,4.0,8747093.0,9.049395039014676
23433,Switzerland,CHE,2021-03-22,1304340.0,805061.0,484523.0,7.0,8747093.0,9.203754893197088
23434,Switzerland,CHE,2021-03-23,1336841.0,823327.0,498346.0,5.0,8747093.0,9.41257855609858
23435,Switzerland,CHE,2021-03-24,1372081.0,844246.0,512142.0,12.0,8747093.0,9.651732295518066
23436,Switzerland,CHE,2021-03-25,1411292.0,869379.0,525786.0,7.0,8747093.0,9.939062040383016
23437,Switzerland,CHE,2021-03-26,1447667.0,892691.0,538411.0,13.0,8747093.0,10.205573440227512
23438,Switzerland,CHE,2021-03-27,1457820.0,900335.0,540959.0,4.0,8747093.0,10.29296247336115
23439,Switzerland,CHE,2021-03-28,1461440.0,903238.0,541669.0,10.0,8747093.0,10.326150642276241
23440,Switzerland,CHE,2021-03-29,1494800.0,924048.0,553783.0,9.0,8747093.0,10.564058253410591
23441,Switzerland,CHE,2021-03-30,1536608.0,952228.0,567019.0,5.0,8747093.0,10.886222428411358
23442,Switzerland,CHE,2021-03-31,1575554.0,976204.0,581657.0,12.0,8747093.0,11.160324921662548
23443,Switzerland,CHE,2021-04-01,1617388.0,1000024.0,599276.0,14.0,8747093.0,11.432643965257945
23444,Switzerland,CHE,2021-04-02,1627840.0,1006137.0,603616.0,12.0,8747093.0,11.502530040551758
23445,Switzerland,CHE,2021-04-03,1634299.0,1010083.0,606140.0,6.0,8747093.0,11.547642170947535
23446,Switzerland,CHE,2021-04-04,1636040.0,1011156.0,606818.0,12.0,8747093.0,11.559909103515876
23447,Switzerland,CHE,2021-04-05,1641935.0,1014869.0,608991.0,10.0,8747093.0,11.602357491797562
23448,Switzerland,CHE,2021-04-06,1680357.0,1033576.0,628287.0,17.0,8747093.0,11.816222829687533
23449,Switzerland,CHE,2021-04-07,1727003.0,1059882.0,648341.0,10.0,8747093.0,12.116962744079665
23450,Switzerland,CHE,2021-04-08,1779352.0,1090403.0,669755.0,10.0,8747093.0,12.465890096286847
23451,Switzerland,CHE,2021-04-09,1827313.0,1120420.0,687465.0,5.0,8747093.0,12.809055534221484
23452,Switzerland,CHE,2021-04-10,1841998.0,1130872.0,691703.0,8.0,8747093.0,12.928546661159313
23453,Switzerland,CHE,2021-04-11,1846126.0,1133727.0,693004.0,6.0,8747093.0,12.96118607633416
23454,Switzerland,CHE,2021-04-12,1890746.0,1165063.0,706003.0,7.0,8747093.0,13.31943080975588
23455,Switzerland,CHE,2021-04-13,1945151.0,1202448.0,722705.0,3.0,8747093.0,13.74682994681776
23456,Switzerland,CHE,2021-04-14,2002308.0,1242482.0,739624.0,10.0,8747093.0,14.204513430919278
23457,Switzerland,CHE,2021-04-15,2060913.0,1283794.0,756727.0,6.0,8747093.0,14.676807483354757
23458,Switzerland,CHE,2021-04-16,2115956.0,1322482.0,772960.0,4.0,8747093.0,15.119102997990304
23459,Switzerland,CHE,2021-04-17,2134028.0,1336961.0,776721.0,7.0,8747093.0,15.28463227726057
23460,Switzerland,CHE,2021-04-18,2140415.0,1342457.0,777646.0,9.0,8747093.0,15.34746458051835
23461,Switzerland,CHE,2021-04-19,2192294.0,1378738.0,792781.0,7.0,8747093.0,15.762242381554652
23462,Switzerland,CHE,2021-04-20,2256660.0,1422914.0,812634.0,8.0,8747093.0,16.267278740491268
23463,Switzerland,CHE,2021-04-21,2324569.0,1469877.0,833260.0,9.0,8747093.0,16.804177113470733
23464,Switzerland,CHE,2021-04-22,2399658.0,1520887.0,857191.0,5.0,8747093.0,17.38734228617439
23465,Switzerland,CHE,2021-04-23,2466347.0,1567090.0,877585.0,7.0,8747093.0,17.91555205826667
23466,Switzerland,CHE,2021-04-24,2493790.0,1588211.0,883968.0,10.0,8747093.0,18.157015136343013
23467,Switzerland,CHE,2021-04-25,2505892.0,1597627.0,886667.0,6.0,8747093.0,18.26466232838727
23468,Switzerland,CHE,2021-04-26,2563096.0,1635642.0,905881.0,9.0,8747093.0,18.699263858289832
