,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23709,Syrian Arab Republic,SYR,2021-06-21,108276.0,102319.0,5957.0,4.0,18591504.0,0.5503535378310437
23710,Syrian Arab Republic,SYR,2021-07-09,131221.0,121909.0,9312.0,2.0,18591504.0,0.6557242490978675
23711,Syrian Arab Republic,SYR,2021-08-30,403254.0,201379.0,201379.0,5.0,18591504.0,1.0831775632568512
23712,Syrian Arab Republic,SYR,2021-09-13,533949.0,285087.0,248862.0,12.0,18591504.0,1.5334262359839204
23713,Syrian Arab Republic,SYR,2021-09-29,811852.0,613263.0,321276.0,12.0,18591504.0,3.298619627546002
23714,Syrian Arab Republic,SYR,2021-10-12,963477.0,714300.0,407405.0,7.0,18591504.0,3.8420775425161935
23715,Syrian Arab Republic,SYR,2021-10-25,977122.0,720552.0,414798.0,12.0,18591504.0,3.875705806265056
23716,Syrian Arab Republic,SYR,2021-10-31,1125146.0,807249.0,503394.0,7.0,18591504.0,4.342031715131816
23717,Syrian Arab Republic,SYR,2021-11-15,1414665.0,890111.0,732224.0,5.0,18591504.0,4.787729922226841
23718,Syrian Arab Republic,SYR,2021-11-28,1422377.0,890837.0,739210.0,4.0,18591504.0,4.791634931740863
23719,Syrian Arab Republic,SYR,2021-12-12,1548574.0,1002945.0,763025.0,5.0,18591504.0,5.394641552399419
23720,Syrian Arab Republic,SYR,2021-12-19,1737980.0,1186091.0,774866.0,4.0,18591504.0,6.379747437324059
