,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23721,Tajikistan,TJK,2021-05-30,91775.0,79376.0,12399.0,0.0,9855078.0,0.8054324887129255
23722,Tajikistan,TJK,2021-06-06,97290.0,83743.0,13547.0,0.0,9855078.0,0.8497446697022591
23723,Tajikistan,TJK,2021-06-13,102711.0,89121.0,13590.0,0.0,9855078.0,0.904315521399222
23724,Tajikistan,TJK,2021-06-20,132075.0,116341.0,15734.0,0.0,9855078.0,1.1805183074147156
23725,Tajikistan,TJK,2021-06-27,223648.0,205619.0,18029.0,0.0,9855078.0,2.0864269161542914
23726,Tajikistan,TJK,2021-07-02,298578.0,280000.0,18578.0,0.0,9855078.0,2.841174874516468
23727,Tajikistan,TJK,2021-07-04,322907.0,304039.0,18868.0,0.0,9855078.0,3.0850998845468296
23728,Tajikistan,TJK,2021-07-06,347405.0,328405.0,19000.0,2.0,9855078.0,3.3323429809485017
23729,Tajikistan,TJK,2021-07-07,358885.0,339749.0,19136.0,0.0,9855078.0,3.447451151578912
23730,Tajikistan,TJK,2021-07-09,380940.0,361000.0,19940.0,0.0,9855078.0,3.663086177501589
23731,Tajikistan,TJK,2021-07-11,397694.0,377744.0,19950.0,2.0,9855078.0,3.8329884349976737
23732,Tajikistan,TJK,2021-07-16,442022.0,421832.0,20190.0,1.0,9855078.0,4.280351713096538
23733,Tajikistan,TJK,2021-07-18,452362.0,431058.0,21034.0,0.0,9855078.0,4.373968425211856
23734,Tajikistan,TJK,2021-07-21,469356.0,447114.0,22242.0,2.0,9855078.0,4.536889510159129
23735,Tajikistan,TJK,2021-07-25,492066.0,462542.0,29524.0,0.0,9855078.0,4.693438245744987
23736,Tajikistan,TJK,2021-07-28,564922.0,524472.0,40450.0,1.0,9855078.0,5.321845245669288
23737,Tajikistan,TJK,2021-08-01,806815.0,750514.0,56301.0,0.0,9855078.0,7.615505427760186
23738,Tajikistan,TJK,2021-08-04,1094058.0,1013808.0,80250.0,0.0,9855078.0,10.287163632799253
23739,Tajikistan,TJK,2021-08-11,1671475.0,1541475.0,130000.0,1.0,9855078.0,15.641428713197401
23740,Tajikistan,TJK,2021-08-15,1830528.0,1699552.0,130976.0,0.0,9855078.0,17.245444429765037
23741,Tajikistan,TJK,2021-08-17,1967958.0,1755958.0,212000.0,0.0,9855078.0,17.817799108236386
23742,Tajikistan,TJK,2021-08-23,2255745.0,1891850.0,363895.0,0.0,9855078.0,19.19670245126421
23743,Tajikistan,TJK,2021-08-31,2808056.0,2009748.0,798308.0,0.0,9855078.0,20.393019720391862
23744,Tajikistan,TJK,2021-09-05,3061270.0,2080138.0,981132.0,0.0,9855078.0,21.107270789739054
23745,Tajikistan,TJK,2021-09-06,3174535.0,2097435.0,1077100.0,0.0,9855078.0,21.282784367612308
23746,Tajikistan,TJK,2021-09-13,3446777.0,2168537.0,1278240.0,0.0,9855078.0,22.004260138783273
23747,Tajikistan,TJK,2021-09-17,3749109.0,2268602.0,1480507.0,0.0,9855078.0,23.019625009563605
23748,Tajikistan,TJK,2021-09-20,3872421.0,2307140.0,1565281.0,0.0,9855078.0,23.410672142828297
23749,Tajikistan,TJK,2021-09-27,4139385.0,2398703.0,1740682.0,0.0,9855078.0,24.33976676795455
23750,Tajikistan,TJK,2021-10-03,4362853.0,2464077.0,1898776.0,0.0,9855078.0,25.00312021883541
23751,Tajikistan,TJK,2021-10-10,4525937.0,2513950.0,2011987.0,0.0,9855078.0,25.50918419925241
23752,Tajikistan,TJK,2021-10-17,4631515.0,2592147.0,2039368.0,0.0,9855078.0,26.302653312332996
23753,Tajikistan,TJK,2021-10-20,4738865.0,2632058.0,2106807.0,0.0,9855078.0,26.707632349535945
23754,Tajikistan,TJK,2021-11-07,4852034.0,2714911.0,2137123.0,0.0,9855078.0,27.54834614195849
23755,Tajikistan,TJK,2021-11-14,5059324.0,2788171.0,2271153.0,0.0,9855078.0,28.29171925376948
23756,Tajikistan,TJK,2021-11-21,5291837.0,2880326.0,2411511.0,0.0,9855078.0,29.226820934344712
23757,Tajikistan,TJK,2021-11-28,5579193.0,3024020.0,2555173.0,0.0,9855078.0,30.684891585840305
23758,Tajikistan,TJK,2021-12-05,5711036.0,3118206.0,2592830.0,0.0,9855078.0,31.640601931308915
23759,Tajikistan,TJK,2021-12-19,6287345.0,3520397.0,2766948.0,0.0,9855078.0,35.72165537401125
