,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23765,Thailand,THA,2021-03-24,102050.0,96188.0,5862.0,0.0,70026540.0,0.13735934975510716
23766,Thailand,THA,2021-03-30,180477.0,151413.0,29064.0,0.0,70026540.0,0.2162223065711943
23767,Thailand,THA,2021-04-01,204642.0,167235.0,37407.0,0.0,70026540.0,0.2388165972501283
23768,Thailand,THA,2021-04-02,231882.0,189666.0,42216.0,0.0,70026540.0,0.27084873820697125
23769,Thailand,THA,2021-04-03,244254.0,201864.0,42390.0,1.0,70026540.0,0.2882678481615685
23770,Thailand,THA,2021-04-04,257484.0,213948.0,43536.0,0.0,70026540.0,0.3055241626960292
23771,Thailand,THA,2021-04-05,294881.0,247850.0,47031.0,0.0,70026540.0,0.3539372357965994
23772,Thailand,THA,2021-04-06,323989.0,274354.0,49635.0,0.0,70026540.0,0.3917857429483165
23773,Thailand,THA,2021-04-07,391752.0,336808.0,54944.0,0.0,70026540.0,0.4809719286430545
23774,Thailand,THA,2021-04-08,466374.0,405911.0,60463.0,0.0,70026540.0,0.5796530858157494
23775,Thailand,THA,2021-04-09,537380.0,470301.0,67079.0,1.0,70026540.0,0.6716039375928041
23776,Thailand,THA,2021-04-10,555396.0,485957.0,69439.0,1.0,70026540.0,0.6939611752915396
23777,Thailand,THA,2021-04-11,570052.0,498791.0,71261.0,0.0,70026540.0,0.7122885123268978
23778,Thailand,THA,2021-04-12,578532.0,505215.0,73317.0,0.0,70026540.0,0.7214621770545853
23779,Thailand,THA,2021-04-13,579305.0,505744.0,73561.0,0.0,70026540.0,0.7222176049252184
23780,Thailand,THA,2021-04-15,586032.0,510456.0,75576.0,0.0,70026540.0,0.7289464822908572
23781,Thailand,THA,2021-04-16,605259.0,523830.0,81429.0,0.0,70026540.0,0.7480449555268617
23782,Thailand,THA,2021-04-17,608521.0,526706.0,81815.0,2.0,70026540.0,0.7521519698103034
23783,Thailand,THA,2021-04-18,618583.0,535925.0,82658.0,2.0,70026540.0,0.7653169783913356
23784,Thailand,THA,2021-04-19,666210.0,571825.0,94385.0,3.0,70026540.0,0.8165832554342967
23785,Thailand,THA,2021-04-20,712610.0,604947.0,107663.0,4.0,70026540.0,0.8638824651339335
23786,Thailand,THA,2021-04-21,864840.0,746617.0,118223.0,2.0,70026540.0,1.0661914754034685
23787,Thailand,THA,2021-04-22,964825.0,834082.0,130743.0,7.0,70026540.0,1.1910941194581368
23788,Thailand,THA,2021-04-23,1095445.0,934449.0,160996.0,4.0,70026540.0,1.3344212065882453
23789,Thailand,THA,2021-04-24,1124153.0,949124.0,175029.0,8.0,70026540.0,1.3553775468558065
23790,Thailand,THA,2021-04-25,1149666.0,972204.0,177462.0,11.0,70026540.0,1.388336479283426
23791,Thailand,THA,2021-04-26,1227032.0,1012388.0,214644.0,8.0,70026540.0,1.4457204368515135
23792,Thailand,THA,2021-04-27,1279713.0,1038960.0,240753.0,15.0,70026540.0,1.4836660500433116
23793,Thailand,THA,2021-04-28,1344646.0,1059721.0,284925.0,15.0,70026540.0,1.5133133808981565
23794,Thailand,THA,2021-04-29,1411614.0,1075756.0,335858.0,10.0,70026540.0,1.5362118419673454
23795,Thailand,THA,2021-04-30,1477078.0,1095230.0,381848.0,15.0,70026540.0,1.5640212982106498
23796,Thailand,THA,2021-05-01,1484565.0,1097862.0,386703.0,21.0,70026540.0,1.5677798731737995
23797,Thailand,THA,2021-05-02,1486907.0,1099460.0,387447.0,21.0,70026540.0,1.5700618651157117
23798,Thailand,THA,2021-05-03,1498617.0,1106071.0,392546.0,31.0,70026540.0,1.5795025714536233
23799,Thailand,THA,2021-05-04,1573075.0,1150564.0,422511.0,27.0,70026540.0,1.6430399102968674
23800,Thailand,THA,2021-05-05,1601833.0,1167719.0,434114.0,15.0,70026540.0,1.6675377649673966
23801,Thailand,THA,2021-05-06,1651782.0,1201258.0,450524.0,18.0,70026540.0,1.7154324631775326
23802,Thailand,THA,2021-05-07,1730488.0,1262703.0,467785.0,27.0,70026540.0,1.8031777666010633
