,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24000,Togo,TGO,2021-05-31,311938.0,270784.0,41154.0,0.0,8578925.0,3.1563861439516026
24001,Togo,TGO,2021-06-08,318666.0,270784.0,47882.0,0.0,8578925.0,3.1563861439516026
24002,Togo,TGO,2021-06-10,347246.0,270784.0,76462.0,1.0,8578925.0,3.1563861439516026
24003,Togo,TGO,2021-07-19,454208.0,304278.0,149930.0,1.0,8578925.0,3.54680802081846
24004,Togo,TGO,2021-08-03,474776.0,321139.0,153637.0,1.0,8578925.0,3.743347797072477
24005,Togo,TGO,2021-08-20,535518.0,356897.0,178621.0,0.0,8578925.0,4.160159926797355
24006,Togo,TGO,2021-09-05,651941.0,414249.0,237692.0,0.0,8578925.0,4.828681915274932
24007,Togo,TGO,2021-09-17,832822.0,445041.0,387781.0,2.0,8578925.0,5.187608004499398
24008,Togo,TGO,2021-09-24,997632.0,595491.0,402141.0,0.0,8578925.0,6.9413242335141065
24009,Togo,TGO,2021-10-01,1125671.0,720739.0,404932.0,1.0,8578925.0,8.401274052401671
24010,Togo,TGO,2021-10-08,1215025.0,805728.0,409297.0,1.0,8578925.0,9.391945960595297
24011,Togo,TGO,2021-10-15,1287154.0,867386.0,419768.0,0.0,8578925.0,10.1106607179804
24012,Togo,TGO,2021-10-29,1375481.0,929347.0,446134.0,0.0,8578925.0,10.832907386414961
24013,Togo,TGO,2021-11-05,1412904.0,950793.0,462111.0,0.0,8578925.0,11.08289208729532
24014,Togo,TGO,2021-11-12,1453570.0,971322.0,482248.0,0.0,8578925.0,11.322187803250403
24015,Togo,TGO,2021-11-19,1507722.0,998792.0,508930.0,0.0,8578925.0,11.642391092124011
24016,Togo,TGO,2021-11-26,1665087.0,1097253.0,567834.0,0.0,8578925.0,12.790098992589394
24017,Togo,TGO,2021-12-03,1930935.0,1281856.0,649079.0,0.0,8578925.0,14.941918713591736
24018,Togo,TGO,2021-12-10,2159257.0,1349188.0,810069.0,0.0,8578925.0,15.72677229373144
24019,Togo,TGO,2021-12-17,2294900.0,1366662.0,928238.0,0.0,8578925.0,15.930457487389154
