,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24021,Tonga,TON,2021-07-20,35635.0,28729.0,6906.0,0.0,107311.0,26.771719581403588
24022,Tonga,TON,2021-07-27,39511.0,28753.0,10758.0,0.0,107311.0,26.794084483417357
24023,Tonga,TON,2021-08-02,47553.0,28841.0,18712.0,0.0,107311.0,26.87608912413452
24024,Tonga,TON,2021-08-23,54619.0,28841.0,25778.0,0.0,107311.0,26.87608912413452
24025,Tonga,TON,2021-08-31,68404.0,41130.0,27274.0,0.0,107311.0,38.32785082610357
24026,Tonga,TON,2021-09-21,73603.0,46126.0,27477.0,0.0,107311.0,42.98347792863732
24027,Tonga,TON,2021-10-05,74503.0,46985.0,27518.0,0.0,107311.0,43.78395504654696
24028,Tonga,TON,2021-10-18,80062.0,49817.0,30245.0,0.0,107311.0,46.42301348417217
24029,Tonga,TON,2021-10-25,84506.0,51048.0,33458.0,0.0,107311.0,47.570146583295276
24030,Tonga,TON,2021-11-01,91707.0,54529.0,37178.0,0.0,107311.0,50.81398924620962
24031,Tonga,TON,2021-11-15,102568.0,63259.0,39309.0,0.0,107311.0,58.949222353719556
24032,Tonga,TON,2021-11-22,116753.0,72695.0,44058.0,0.0,107311.0,67.74235632880135
24033,Tonga,TON,2021-11-30,118185.0,73183.0,45002.0,0.0,107311.0,68.19710933641471
24034,Tonga,TON,2021-12-06,119535.0,73296.0,46239.0,0.0,107311.0,68.30241075006289
24035,Tonga,TON,2021-12-20,130236.0,73609.0,56627.0,0.0,107311.0,68.59408634715919
