,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24036,Trinidad and Tobago,TTO,2021-11-10,1250626.0,666925.0,621161.0,13.0,1405396.0,47.45459642691455
24037,Trinidad and Tobago,TTO,2021-11-11,1254369.0,668050.0,623206.0,9.0,1405396.0,47.53464503954758
24038,Trinidad and Tobago,TTO,2021-11-12,1257974.0,669197.0,625021.0,12.0,1405396.0,47.61625904727209
24039,Trinidad and Tobago,TTO,2021-11-13,1261785.0,670447.0,626652.0,12.0,1405396.0,47.70520195019767
24040,Trinidad and Tobago,TTO,2021-11-14,1263059.0,670999.0,627187.0,10.0,1405396.0,47.744479136129605
24041,Trinidad and Tobago,TTO,2021-11-15,1263909.0,671394.0,627596.0,22.0,1405396.0,47.7725850934541
24042,Trinidad and Tobago,TTO,2021-11-16,1268243.0,672952.0,629381.0,8.0,1405396.0,47.88344352766053
24043,Trinidad and Tobago,TTO,2021-11-17,1272023.0,674258.0,630781.0,12.0,1405396.0,47.97637107263718
24044,Trinidad and Tobago,TTO,2021-11-18,1275330.0,675336.0,631960.0,15.0,1405396.0,48.0530754321202
24045,Trinidad and Tobago,TTO,2021-11-19,1278727.0,676396.0,633341.0,6.0,1405396.0,48.1284990138011
24046,Trinidad and Tobago,TTO,2021-11-20,1282541.0,677587.0,634513.0,17.0,1405396.0,48.213243811708594
24047,Trinidad and Tobago,TTO,2021-11-21,1284116.0,678363.0,635055.0,11.0,1405396.0,48.26845956584479
24048,Trinidad and Tobago,TTO,2021-11-22,1284884.0,678760.0,635225.0,48.0,1405396.0,48.296707831813954
24049,Trinidad and Tobago,TTO,2021-11-23,1289461.0,680283.0,636885.0,0.0,1405396.0,48.40507586473847
24050,Trinidad and Tobago,TTO,2021-11-24,1293577.0,681553.0,638366.0,10.0,1405396.0,48.49544185411087
24051,Trinidad and Tobago,TTO,2021-11-25,1296957.0,682719.0,639486.0,21.0,1405396.0,48.578407793959855
24052,Trinidad and Tobago,TTO,2021-11-26,1300017.0,683829.0,640171.0,11.0,1405396.0,48.65738909175777
24053,Trinidad and Tobago,TTO,2021-11-27,1304312.0,685174.0,641345.0,31.0,1405396.0,48.75309165530569
24054,Trinidad and Tobago,TTO,2021-11-28,1306771.0,686089.0,641799.0,21.0,1405396.0,48.818197860247224
24055,Trinidad and Tobago,TTO,2021-11-29,1308026.0,686751.0,642105.0,29.0,1405396.0,48.86530202163661
24056,Trinidad and Tobago,TTO,2021-11-30,1313024.0,688409.0,643682.0,25.0,1405396.0,48.983275888077095
24057,Trinidad and Tobago,TTO,2021-12-01,1317961.0,689661.0,644888.0,19.0,1405396.0,49.07236109964736
24058,Trinidad and Tobago,TTO,2021-12-02,1321674.0,690768.0,645833.0,24.0,1405396.0,49.15112893447825
24059,Trinidad and Tobago,TTO,2021-12-03,1324880.0,691683.0,646734.0,19.0,1405396.0,49.21623513941979
24060,Trinidad and Tobago,TTO,2021-12-04,1328458.0,692778.0,647907.0,21.0,1405396.0,49.29414912238257
24061,Trinidad and Tobago,TTO,2021-12-05,1329938.0,693483.0,648391.0,17.0,1405396.0,49.34431291963261
24062,Trinidad and Tobago,TTO,2021-12-06,1330873.0,693946.0,648651.0,21.0,1405396.0,49.377257370876244
24063,Trinidad and Tobago,TTO,2021-12-07,1334388.0,695129.0,650050.0,26.0,1405396.0,49.46143293420503
24064,Trinidad and Tobago,TTO,2021-12-08,1338461.0,696107.0,651135.0,19.0,1405396.0,49.53102186145399
24065,Trinidad and Tobago,TTO,2021-12-09,1341221.0,696950.0,652152.0,22.0,1405396.0,49.591004955187
24066,Trinidad and Tobago,TTO,2021-12-10,1343818.0,697645.0,653077.0,17.0,1405396.0,49.64045720921363
24067,Trinidad and Tobago,TTO,2021-12-11,1346675.0,698473.0,654075.0,16.0,1405396.0,49.69937298811154
24068,Trinidad and Tobago,TTO,2021-12-12,1347725.0,698861.0,654550.0,25.0,1405396.0,49.72698086517964
24069,Trinidad and Tobago,TTO,2021-12-13,1348195.0,699027.0,654695.0,22.0,1405396.0,49.73879248268816
24070,Trinidad and Tobago,TTO,2021-12-14,1353316.0,699968.0,655985.0,24.0,1405396.0,49.805748700010525
24071,Trinidad and Tobago,TTO,2021-12-15,1357815.0,700738.0,656926.0,22.0,1405396.0,49.86053752821269
24072,Trinidad and Tobago,TTO,2021-12-16,1362128.0,701503.0,657908.0,25.0,1405396.0,49.91497058480314
24073,Trinidad and Tobago,TTO,2021-12-17,1365856.0,702136.0,658753.0,32.0,1405396.0,49.96001127084465
24074,Trinidad and Tobago,TTO,2021-12-18,1369643.0,702844.0,659702.0,17.0,1405396.0,50.01038853106171
24075,Trinidad and Tobago,TTO,2021-12-19,1371295.0,703083.0,659946.0,57.0,1405396.0,50.027394414101074
24076,Trinidad and Tobago,TTO,2021-12-20,1372208.0,703289.0,660103.0,0.0,1405396.0,50.04205220450322
24077,Trinidad and Tobago,TTO,2021-12-21,1379254.0,704587.0,661746.0,20.0,1405396.0,50.13441051490114
24078,Trinidad and Tobago,TTO,2021-12-22,1384249.0,705683.0,662870.0,32.0,1405396.0,50.212395652186295
24079,Trinidad and Tobago,TTO,2021-12-23,1387974.0,706553.0,663831.0,27.0,1405396.0,50.27429991262249
24080,Trinidad and Tobago,TTO,2021-12-24,1390568.0,707231.0,664548.0,23.0,1405396.0,50.32254254316933
24081,Trinidad and Tobago,TTO,2021-12-25,1391155.0,707398.0,664699.0,56.0,1405396.0,50.33442531500019
24082,Trinidad and Tobago,TTO,2021-12-26,1391155.0,707398.0,664699.0,0.0,1405396.0,50.33442531500019
