,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24083,Tunisia,TUN,2021-04-07,112254.0,108266.0,3988.0,46.0,11993268.0,0.9027230943225816
24084,Tunisia,TUN,2021-04-08,124779.0,119919.0,4860.0,48.0,11993268.0,0.9998859360101018
24085,Tunisia,TUN,2021-04-09,130374.0,125395.0,4979.0,49.0,11993268.0,1.0455448840132648
24086,Tunisia,TUN,2021-04-10,142932.0,134901.0,8031.0,43.0,11993268.0,1.124806016175074
24087,Tunisia,TUN,2021-04-11,154647.0,146284.0,8363.0,56.0,11993268.0,1.2197175949040744
24088,Tunisia,TUN,2021-04-12,166093.0,157617.0,8476.0,58.0,11993268.0,1.3142122730852008
24089,Tunisia,TUN,2021-04-13,175439.0,166959.0,8480.0,39.0,11993268.0,1.3921059714499835
24090,Tunisia,TUN,2021-04-14,183025.0,174534.0,8491.0,64.0,11993268.0,1.4552664044528982
24091,Tunisia,TUN,2021-04-15,191625.0,180829.0,10796.0,84.0,11993268.0,1.5077541834302377
24092,Tunisia,TUN,2021-04-18,225900.0,192881.0,33019.0,78.0,11993268.0,1.6082438914897923
24093,Tunisia,TUN,2021-04-19,239398.0,197437.0,41961.0,66.0,11993268.0,1.6462318694120737
24094,Tunisia,TUN,2021-04-20,252672.0,204975.0,47697.0,42.0,11993268.0,1.7090837960095615
24095,Tunisia,TUN,2021-04-21,265365.0,214150.0,51215.0,93.0,11993268.0,1.7855850465444447
24096,Tunisia,TUN,2021-04-22,279890.0,225834.0,54056.0,75.0,11993268.0,1.8830063665716463
24097,Tunisia,TUN,2021-04-23,293073.0,235977.0,57096.0,70.0,11993268.0,1.9675788117133712
24098,Tunisia,TUN,2021-04-24,306612.0,244387.0,62225.0,107.0,11993268.0,2.037701483865782
24099,Tunisia,TUN,2021-04-25,320009.0,254096.0,65913.0,61.0,11993268.0,2.11865523225196
24100,Tunisia,TUN,2021-04-26,333000.0,263189.0,69811.0,73.0,11993268.0,2.19447276588833
24101,Tunisia,TUN,2021-04-27,345914.0,271129.0,74785.0,48.0,11993268.0,2.260676572890725
24102,Tunisia,TUN,2021-04-28,358746.0,277918.0,80828.0,92.0,11993268.0,2.31728332928106
24103,Tunisia,TUN,2021-04-30,372083.0,282121.0,89962.0,78.0,11993268.0,2.3523279893353504
24104,Tunisia,TUN,2021-05-01,400364.0,305484.0,94880.0,81.0,11993268.0,2.547128939334967
24105,Tunisia,TUN,2021-05-02,415801.0,314357.0,101444.0,86.0,11993268.0,2.621112110560692
24106,Tunisia,TUN,2021-05-03,424485.0,320652.0,103833.0,60.0,11993268.0,2.6735998895380306
24107,Tunisia,TUN,2021-05-04,432878.0,325740.0,107138.0,47.0,11993268.0,2.7160236892896914
24108,Tunisia,TUN,2021-05-05,444490.0,330794.0,113696.0,101.0,11993268.0,2.7581639966687983
24109,Tunisia,TUN,2021-05-06,457568.0,333779.0,123789.0,106.0,11993268.0,2.783052959376877
24110,Tunisia,TUN,2021-05-07,478755.0,340979.0,137776.0,86.0,11993268.0,2.8430866382707363
24111,Tunisia,TUN,2021-05-08,499369.0,350426.0,148943.0,69.0,11993268.0,2.9218558277860547
24112,Tunisia,TUN,2021-05-09,518538.0,362101.0,156437.0,73.0,11993268.0,3.0192021057146388
24113,Tunisia,TUN,2021-05-10,537380.0,372240.0,165140.0,79.0,11993268.0,3.1037411988125334
24114,Tunisia,TUN,2021-05-15,570553.0,392067.0,178486.0,34.0,11993268.0,3.2690589420665
24115,Tunisia,TUN,2021-05-16,599969.0,414023.0,185946.0,52.0,11993268.0,3.4521283106489413
24116,Tunisia,TUN,2021-05-17,628107.0,432600.0,195507.0,70.0,11993268.0,3.607023540206056
24117,Tunisia,TUN,2021-05-18,656077.0,450177.0,205900.0,50.0,11993268.0,3.7535807588056898
24118,Tunisia,TUN,2021-05-19,684173.0,466895.0,217278.0,72.0,11993268.0,3.892975625992849
