,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24616,Turks and Caicos Islands,TCA,2021-03-29,24300.0,14300.0,10000.0,0.0,39231.0,36.45076597588642
24617,Turks and Caicos Islands,TCA,2021-04-11,25039.0,15039.0,10000.0,0.0,39231.0,38.3344803854095
24618,Turks and Caicos Islands,TCA,2021-05-16,30760.0,20760.0,10000.0,0.0,39231.0,52.91733578037776
24619,Turks and Caicos Islands,TCA,2021-05-28,36170.0,20760.0,15410.0,0.0,39231.0,52.91733578037776
24620,Turks and Caicos Islands,TCA,2021-06-18,38110.0,22700.0,15410.0,0.0,39231.0,57.862404730952555
24621,Turks and Caicos Islands,TCA,2021-07-02,45342.0,23846.0,21496.0,0.0,39231.0,60.783564018250864
24622,Turks and Caicos Islands,TCA,2021-07-16,46348.0,24360.0,21988.0,0.0,39231.0,62.09375238969182
24623,Turks and Caicos Islands,TCA,2021-07-23,47263.0,24567.0,22696.0,0.0,39231.0,62.621396344727394
24624,Turks and Caicos Islands,TCA,2021-08-13,49107.0,25621.0,23486.0,1.0,39231.0,65.30804720756545
24625,Turks and Caicos Islands,TCA,2021-09-03,50875.0,26606.0,24269.0,0.0,39231.0,67.81881675205832
24626,Turks and Caicos Islands,TCA,2021-09-10,51838.0,27220.0,24618.0,0.0,39231.0,69.38390558486911
24627,Turks and Caicos Islands,TCA,2021-09-17,52374.0,27446.0,24928.0,0.0,39231.0,69.95998062756493
24628,Turks and Caicos Islands,TCA,2021-10-08,54417.0,28305.0,26112.0,0.0,39231.0,72.14957559073181
24629,Turks and Caicos Islands,TCA,2021-11-05,56343.0,29210.0,27133.0,0.0,39231.0,74.45642476612882
