,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24634,Uganda,UGA,2021-05-22,513338.0,511064.0,2274.0,0.0,47821639.0,1.0686877545121365
24635,Uganda,UGA,2021-05-23,530653.0,527917.0,2736.0,1.0,47821639.0,1.103929122964606
24636,Uganda,UGA,2021-05-24,541569.0,537440.0,4129.0,0.0,47821639.0,1.1238427022545172
24637,Uganda,UGA,2021-08-20,1163451.0,901900.0,242310.0,8.0,47821639.0,1.8859663091012
24638,Uganda,UGA,2021-09-01,1436264.0,1030447.0,366658.0,6.0,47821639.0,2.1547713996168136
24639,Uganda,UGA,2021-09-22,2058553.0,1643067.0,415486.0,3.0,47821639.0,3.4358232682070984
24640,Uganda,UGA,2021-10-07,2615807.0,2200321.0,415486.0,5.0,47821639.0,4.601099096582616
24641,Uganda,UGA,2021-10-14,2793657.0,2378171.0,415486.0,0.0,47821639.0,4.973001866372669
24642,Uganda,UGA,2021-10-21,2990507.0,2575021.0,415486.0,4.0,47821639.0,5.3846356039783565
24643,Uganda,UGA,2021-10-28,3269568.0,2854082.0,415486.0,5.0,47821639.0,5.968181057115169
24644,Uganda,UGA,2021-11-04,3604659.0,3189173.0,415486.0,2.0,47821639.0,6.668891043236724
24645,Uganda,UGA,2021-11-10,3898698.0,3483212.0,415486.0,1.0,47821639.0,7.283757045633672
24646,Uganda,UGA,2021-11-15,4751422.0,3838439.0,912983.0,1.0,47821639.0,8.026573493225525
24647,Uganda,UGA,2021-12-09,7813170.0,6525371.0,1287799.0,2.0,47821639.0,13.645226588741552
24648,Uganda,UGA,2021-12-20,9763030.0,8354808.0,1408222.0,0.0,47821639.0,17.47076882914866
