,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24649,Ukraine,UKR,2021-03-16,71923.0,71922.0,1.0,264.0,43334913.0,0.16596779598934466
24650,Ukraine,UKR,2021-03-17,81755.0,81754.0,1.0,289.0,43334913.0,0.18865619967899785
24651,Ukraine,UKR,2021-03-18,92714.0,92713.0,1.0,267.0,43334913.0,0.21394527779483485
24652,Ukraine,UKR,2021-03-19,104342.0,104341.0,1.0,262.0,43334913.0,0.2407781457874393
24653,Ukraine,UKR,2021-03-20,108310.0,108309.0,1.0,260.0,43334913.0,0.2499347350714653
24654,Ukraine,UKR,2021-03-21,111025.0,111024.0,1.0,166.0,43334913.0,0.25619989129780874
24655,Ukraine,UKR,2021-03-22,121929.0,121928.0,1.0,157.0,43334913.0,0.28136205096338834
24656,Ukraine,UKR,2021-03-23,137026.0,137025.0,1.0,333.0,43334913.0,0.3162000117549561
24657,Ukraine,UKR,2021-03-24,155587.0,155586.0,1.0,342.0,43334913.0,0.3590315273045546
24658,Ukraine,UKR,2021-03-25,174325.0,174324.0,1.0,362.0,43334913.0,0.4022714895031634
24659,Ukraine,UKR,2021-03-26,192264.0,192263.0,1.0,326.0,43334913.0,0.4436676727607599
24660,Ukraine,UKR,2021-03-27,196880.0,196879.0,1.0,290.0,43334913.0,0.454319592149637
24661,Ukraine,UKR,2021-03-28,198465.0,198464.0,1.0,203.0,43334913.0,0.4579771511252371
24662,Ukraine,UKR,2021-03-29,212898.0,212896.0,2.0,178.0,43334913.0,0.4912805524727834
24663,Ukraine,UKR,2021-03-30,231566.0,231564.0,2.0,286.0,43334913.0,0.5343589820983372
24664,Ukraine,UKR,2021-03-31,248736.0,248734.0,2.0,407.0,43334913.0,0.5739806146605163
24665,Ukraine,UKR,2021-04-01,267833.0,267831.0,2.0,421.0,43334913.0,0.6180490081980781
24666,Ukraine,UKR,2021-04-02,286647.0,286645.0,2.0,433.0,43334913.0,0.6614643486188607
24667,Ukraine,UKR,2021-04-03,290566.0,290564.0,2.0,396.0,43334913.0,0.6705078651017483
24668,Ukraine,UKR,2021-04-04,291824.0,291822.0,2.0,258.0,43334913.0,0.6734108362003635
24669,Ukraine,UKR,2021-04-05,304680.0,304678.0,2.0,254.0,43334913.0,0.7030774470459881
24670,Ukraine,UKR,2021-04-06,320265.0,320263.0,2.0,430.0,43334913.0,0.7390415206325671
24671,Ukraine,UKR,2021-04-07,334578.0,334576.0,2.0,481.0,43334913.0,0.7720703166059201
24672,Ukraine,UKR,2021-04-08,353147.0,353142.0,5.0,464.0,43334913.0,0.8149133701964509
24673,Ukraine,UKR,2021-04-09,373005.0,373000.0,5.0,419.0,43334913.0,0.8607378535639383
24674,Ukraine,UKR,2021-04-10,377053.0,377048.0,5.0,398.0,43334913.0,0.8700790515028841
24675,Ukraine,UKR,2021-04-11,378269.0,378264.0,5.0,235.0,43334913.0,0.8728851030576662
24676,Ukraine,UKR,2021-04-12,388404.0,388399.0,5.0,287.0,43334913.0,0.8962727120278284
24677,Ukraine,UKR,2021-04-13,403556.0,403551.0,5.0,457.0,43334913.0,0.9312375912696536
24678,Ukraine,UKR,2021-04-14,419300.0,419295.0,5.0,467.0,43334913.0,0.967568574557886
24679,Ukraine,UKR,2021-04-15,432820.0,432815.0,5.0,433.0,43334913.0,0.9987674372393456
24680,Ukraine,UKR,2021-04-16,445864.0,445859.0,5.0,438.0,43334913.0,1.028867878424032
24681,Ukraine,UKR,2021-04-17,449197.0,449192.0,5.0,440.0,43334913.0,1.0365591365096314
24682,Ukraine,UKR,2021-04-18,450650.0,450645.0,5.0,250.0,43334913.0,1.0399120912046138
24683,Ukraine,UKR,2021-04-19,462794.0,462789.0,5.0,214.0,43334913.0,1.0679356850214514
24684,Ukraine,UKR,2021-04-20,477836.0,477831.0,5.0,367.0,43334913.0,1.1026467273627616
24685,Ukraine,UKR,2021-04-21,491880.0,491875.0,5.0,429.0,43334913.0,1.1350547767339465
24686,Ukraine,UKR,2021-04-22,508049.0,508044.0,5.0,470.0,43334913.0,1.1723664935014408
24687,Ukraine,UKR,2021-04-23,522388.0,522383.0,5.0,434.0,43334913.0,1.2054552872876427
24688,Ukraine,UKR,2021-04-24,526919.0,526914.0,5.0,392.0,43334913.0,1.2159110599806673
24689,Ukraine,UKR,2021-04-25,528033.0,528028.0,5.0,231.0,43334913.0,1.2184817355004267
24690,Ukraine,UKR,2021-04-26,539133.0,539124.0,9.0,195.0,43334913.0,1.244086955937814
24691,Ukraine,UKR,2021-04-27,558723.0,558714.0,9.0,432.0,43334913.0,1.2892930003113194
