,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24935,United Arab Emirates,ARE,2021-01-10,1086568.0,836568.0,250000.0,5.0,10042529.0,8.330252270120404
24936,United Arab Emirates,ARE,2021-02-23,5668264.0,3480415.0,2187849.0,15.0,10042529.0,34.656758272741854
24937,United Arab Emirates,ARE,2021-07-05,15574641.0,7319003.0,6329949.0,3.0,10042529.0,72.88007831493442
24938,United Arab Emirates,ARE,2021-07-06,15650988.0,7368545.0,6359697.0,5.0,10042529.0,73.37340026600869
24939,United Arab Emirates,ARE,2021-07-07,15728415.0,7397884.0,6398972.0,4.0,10042529.0,73.66554779179627
24940,United Arab Emirates,ARE,2021-07-08,15795853.0,7417751.0,6428717.0,4.0,10042529.0,73.86337644631148
24941,United Arab Emirates,ARE,2021-07-09,15865306.0,7437635.0,6458478.0,2.0,10042529.0,74.0613743808955
24942,United Arab Emirates,ARE,2021-07-10,15915717.0,7457402.0,6488137.0,4.0,10042529.0,74.25820727030012
24943,United Arab Emirates,ARE,2021-07-11,15934124.0,7477002.0,6507761.0,7.0,10042529.0,74.45337723197015
24944,United Arab Emirates,ARE,2021-07-12,15968660.0,7486855.0,6527509.0,6.0,10042529.0,74.55148996831377
24945,United Arab Emirates,ARE,2021-07-13,16042491.0,7516827.0,6557442.0,4.0,10042529.0,74.84994068725119
24946,United Arab Emirates,ARE,2021-07-14,16120004.0,7536317.0,6596750.0,6.0,10042529.0,75.04401530729959
24947,United Arab Emirates,ARE,2021-07-15,16194526.0,7645272.0,6705685.0,4.0,10042529.0,76.12895118351166
24948,United Arab Emirates,ARE,2021-07-16,16263585.0,7664971.0,6725394.0,5.0,10042529.0,76.32510695264111
24949,United Arab Emirates,ARE,2021-07-18,16358244.0,7674726.0,6735166.0,4.0,10042529.0,76.42224383917636
24950,United Arab Emirates,ARE,2021-07-19,16375149.0,7674769.0,6735204.0,2.0,10042529.0,76.4226720181739
24951,United Arab Emirates,ARE,2021-07-20,16444844.0,7684876.0,6765065.0,2.0,10042529.0,76.52331399789833
24952,United Arab Emirates,ARE,2021-07-26,16524169.0,7704751.0,6814600.0,4.0,10042529.0,76.72122231362239
24953,United Arab Emirates,ARE,2021-07-27,16587478.0,7704755.0,6864057.0,7.0,10042529.0,76.72126214422683
24954,United Arab Emirates,ARE,2021-07-28,16645208.0,7734137.0,6893470.0,2.0,10042529.0,77.01383784901194
24955,United Arab Emirates,ARE,2021-07-29,16676766.0,7743985.0,6913213.0,5.0,10042529.0,77.1119007971
24956,United Arab Emirates,ARE,2021-07-31,16795717.0,7803451.0,6972665.0,4.0,10042529.0,77.70404247774641
24957,United Arab Emirates,ARE,2021-08-02,16832021.0,7813207.0,6992326.0,2.0,10042529.0,77.80118932193275
24958,United Arab Emirates,ARE,2021-08-03,16884412.0,7842865.0,7021985.0,5.0,10042529.0,78.09651333842301
24959,United Arab Emirates,ARE,2021-08-04,16935702.0,7872930.0,7042119.0,4.0,10042529.0,78.39589011891327
24960,United Arab Emirates,ARE,2021-08-05,16988539.0,7892446.0,7071552.0,5.0,10042529.0,78.5902236378904
24961,United Arab Emirates,ARE,2021-08-06,17037618.0,7922403.0,7091590.0,2.0,10042529.0,78.88852499206126
24962,United Arab Emirates,ARE,2021-08-07,17097354.0,7951798.0,7121013.0,2.0,10042529.0,79.18123014631075
24963,United Arab Emirates,ARE,2021-08-08,17113003.0,7961606.0,7130830.0,2.0,10042529.0,79.27889478835459
24964,United Arab Emirates,ARE,2021-08-09,17137750.0,7981397.0,7140729.0,4.0,10042529.0,79.47596666138578
24965,United Arab Emirates,ARE,2021-08-10,17197497.0,8011256.0,7170569.0,3.0,10042529.0,79.7732921657483
24966,United Arab Emirates,ARE,2021-08-11,17245815.0,8040860.0,7180399.0,4.0,10042529.0,80.06807846907886
24967,United Arab Emirates,ARE,2021-08-12,17288318.0,8080410.0,7190279.0,6.0,10042529.0,80.46190357030585
24968,United Arab Emirates,ARE,2021-08-13,17313163.0,8090356.0,7200219.0,4.0,10042529.0,80.56094236820229
24969,United Arab Emirates,ARE,2021-08-15,17376128.0,8139651.0,7209971.0,3.0,10042529.0,81.05180477945345
24970,United Arab Emirates,ARE,2021-08-16,17398458.0,8159700.0,7220098.0,4.0,10042529.0,81.25144572646991
24971,United Arab Emirates,ARE,2021-08-17,17454250.0,8189097.0,7239637.0,2.0,10042529.0,81.54417079602159
24972,United Arab Emirates,ARE,2021-08-18,17506683.0,8218775.0,7259423.0,3.0,10042529.0,81.83969396553398
24973,United Arab Emirates,ARE,2021-08-19,17566410.0,8258517.0,7279364.0,3.0,10042529.0,82.23543093577325
24974,United Arab Emirates,ARE,2021-08-20,17622541.0,8297964.0,7308934.0,3.0,10042529.0,82.62823039893638
24975,United Arab Emirates,ARE,2021-08-21,17683483.0,8327923.0,7328967.0,2.0,10042529.0,82.92655166840943
24976,United Arab Emirates,ARE,2021-08-24,17776853.0,8357317.0,7348504.0,4.0,10042529.0,83.2192468650078
24977,United Arab Emirates,ARE,2021-08-25,17843063.0,8436413.0,7397933.0,2.0,10042529.0,84.00685723685737
24978,United Arab Emirates,ARE,2021-08-26,17909062.0,8485738.0,7417604.0,2.0,10042529.0,84.49801837764174
24979,United Arab Emirates,ARE,2021-09-01,18289168.0,8693586.0,7595761.0,2.0,10042529.0,86.56769624464117
24980,United Arab Emirates,ARE,2021-09-03,18339225.0,8713654.0,7625684.0,0.0,10042529.0,86.76752638702862
24981,United Arab Emirates,ARE,2021-09-04,18389144.0,8743077.0,7645247.0,1.0,10042529.0,87.06051035550905
24982,United Arab Emirates,ARE,2021-09-06,18439345.0,8772634.0,7664928.0,1.0,10042529.0,87.35482864923765
24983,United Arab Emirates,ARE,2021-09-07,18542213.0,8812200.0,7704493.0,2.0,10042529.0,87.74881307288234
24984,United Arab Emirates,ARE,2021-09-09,18710538.0,8861741.0,7754024.0,3.0,10042529.0,88.2421250663055
24985,United Arab Emirates,ARE,2021-09-10,18801148.0,8891700.0,7783946.0,4.0,10042529.0,88.54044633577855
24986,United Arab Emirates,ARE,2021-09-11,18860966.0,8921128.0,7813405.0,3.0,10042529.0,88.83348009251455
24987,United Arab Emirates,ARE,2021-09-12,18942543.0,8931243.0,7823492.0,2.0,10042529.0,88.93420173344782
24988,United Arab Emirates,ARE,2021-09-13,18997951.0,8951034.0,7843282.0,0.0,10042529.0,89.131273606479
24989,United Arab Emirates,ARE,2021-09-14,19073549.0,8980442.0,7872722.0,2.0,10042529.0,89.42410821019287
24990,United Arab Emirates,ARE,2021-09-15,19163754.0,9010208.0,7912367.0,2.0,10042529.0,89.72050765300254
24991,United Arab Emirates,ARE,2021-09-16,19247164.0,9030144.0,7942175.0,2.0,10042529.0,89.91902338544405
24992,United Arab Emirates,ARE,2021-09-17,19330107.0,9059751.0,7971790.0,1.0,10042529.0,90.21383956172792
24993,United Arab Emirates,ARE,2021-09-18,19412656.0,9079284.0,8011133.0,2.0,10042529.0,90.40834236077387
24994,United Arab Emirates,ARE,2021-09-19,19445872.0,9089444.0,8021261.0,2.0,10042529.0,90.50951209600692
24995,United Arab Emirates,ARE,2021-09-20,19486569.0,9108831.0,8030804.0,2.0,10042529.0,90.7025610779914
24996,United Arab Emirates,ARE,2021-09-21,19549263.0,9128792.0,8070524.0,2.0,10042529.0,90.90132575171054
24997,United Arab Emirates,ARE,2021-09-22,19653364.0,9158580.0,8090409.0,1.0,10042529.0,91.19794426284454
24998,United Arab Emirates,ARE,2021-09-23,19713423.0,9178234.0,8110078.0,2.0,10042529.0,91.39365193767428
