,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
25400,United States of America,USA,2020-12-13,24147.0,20435.0,4345.0,3210.0,333889668.0,0.006120285219487535
25401,United States of America,USA,2020-12-14,28547.0,24696.0,4444.0,2401.0,333889668.0,0.007396455286540943
25402,United States of America,USA,2020-12-15,77567.0,71493.0,4669.0,2030.0,333889668.0,0.021412163014280512
25403,United States of America,USA,2020-12-16,236843.0,225301.0,5096.0,2017.0,333889668.0,0.0674776794830321
25404,United States of America,USA,2020-12-17,508232.0,489577.0,5784.0,2746.0,333889668.0,0.1466283766528529
25405,United States of America,USA,2020-12-18,922368.0,894791.0,6980.0,3391.0,333889668.0,0.26799002357868706
25406,United States of America,USA,2020-12-19,1103676.0,1072081.0,7993.0,3331.0,333889668.0,0.32108840217242063
25407,United States of America,USA,2020-12-20,1208349.0,1174775.0,8727.0,2956.0,333889668.0,0.35184526883892675
25408,United States of America,USA,2020-12-21,1589825.0,1549574.0,10039.0,2674.0,333889668.0,0.4640976192171361
25409,United States of America,USA,2020-12-22,2038518.0,1989656.0,12549.0,2061.0,333889668.0,0.5959022367831999
25410,United States of America,USA,2020-12-23,2612435.0,2551074.0,15165.0,2189.0,333889668.0,0.764047002496645
25411,United States of America,USA,2020-12-24,2808590.0,2742059.0,16263.0,2894.0,333889668.0,0.8212470354129078
25412,United States of America,USA,2020-12-25,2821220.0,2754547.0,16356.0,3185.0,333889668.0,0.8249871930748094
25413,United States of America,USA,2020-12-26,2962980.0,2892640.0,17101.0,3023.0,333889668.0,0.8663460649522106
25414,United States of America,USA,2020-12-27,3059480.0,2985912.0,17805.0,2218.0,333889668.0,0.8942810413648379
25415,United States of America,USA,2020-12-28,3647405.0,3560282.0,21462.0,1667.0,333889668.0,1.0663049328019338
25416,United States of America,USA,2020-12-29,4365574.0,4260509.0,26154.0,1880.0,333889668.0,1.2760230124880654
25417,United States of America,USA,2020-12-30,5204773.0,5081385.0,32792.0,2237.0,333889668.0,1.5218754837301525
25418,United States of America,USA,2020-12-31,5622540.0,5489708.0,35759.0,3333.0,333889668.0,1.6441682765697319
25419,United States of America,USA,2021-01-01,5711974.0,5571750.0,41516.0,3755.0,333889668.0,1.6687398664878723
25420,United States of America,USA,2021-01-02,5974414.0,5825150.0,44253.0,3760.0,333889668.0,1.7446332002103164
25421,United States of America,USA,2021-01-03,6111184.0,5954725.0,46616.0,3032.0,333889668.0,1.7834409299541432
25422,United States of America,USA,2021-01-04,6764008.0,6548598.0,91903.0,2345.0,333889668.0,1.961305972486696
25423,United States of America,USA,2021-01-05,7589286.0,7273155.0,179490.0,2023.0,333889668.0,2.178310890410661
25424,United States of America,USA,2021-01-06,8605265.0,8099597.0,350952.0,2073.0,333889668.0,2.425830379393471
25425,United States of America,USA,2021-01-07,9770184.0,8962883.0,629299.0,3488.0,333889668.0,2.6843846512794762
25426,United States of America,USA,2021-01-08,11002610.0,9808051.0,989579.0,3851.0,333889668.0,2.93751257975434
25427,United States of America,USA,2021-01-09,11510556.0,10177816.0,1117736.0,3949.0,333889668.0,3.0482572464626254
25428,United States of America,USA,2021-01-10,11760185.0,10353252.0,1186437.0,3773.0,333889668.0,3.1008003518096285
25429,United States of America,USA,2021-01-11,12827729.0,11075560.0,1507197.0,3333.0,333889668.0,3.317131693934297
25430,United States of America,USA,2021-01-12,14083888.0,11991203.0,1820545.0,2544.0,333889668.0,3.5913668942879657
25431,United States of America,USA,2021-01-13,15402657.0,13018115.0,2089550.0,2631.0,333889668.0,3.8989271749493013
25432,United States of America,USA,2021-01-14,16713019.0,14171096.0,2224256.0,3586.0,333889668.0,4.2442451378878845
25433,United States of America,USA,2021-01-15,17968420.0,15287725.0,2343608.0,4031.0,333889668.0,4.578675671988749
25434,United States of America,USA,2021-01-16,18615502.0,15852363.0,2415088.0,3720.0,333889668.0,4.747784828130711
25435,United States of America,USA,2021-01-17,18920626.0,16108149.0,2456942.0,3392.0,333889668.0,4.824392769170684
25436,United States of America,USA,2021-01-18,19804142.0,16746417.0,2682978.0,3528.0,333889668.0,5.015554120111318
25437,United States of America,USA,2021-01-19,21146061.0,17710130.0,3034988.0,2583.0,333889668.0,5.304186291862137
25438,United States of America,USA,2021-01-20,22742297.0,18860247.0,3451465.0,2297.0,333889668.0,5.64864648641958
25439,United States of America,USA,2021-01-21,24367009.0,20185925.0,3722392.0,2725.0,333889668.0,6.045687223840661
25440,United States of America,USA,2021-01-22,25993510.0,21579604.0,3929259.0,3837.0,333889668.0,6.463094269811307
25441,United States of America,USA,2021-01-23,26901419.0,22323348.0,4078164.0,3825.0,333889668.0,6.685845696788678
25442,United States of America,USA,2021-01-24,27298528.0,22625725.0,4165188.0,3681.0,333889668.0,6.776407648528974
25443,United States of America,USA,2021-01-25,28670642.0,23486241.0,4647523.0,2993.0,333889668.0,7.034132305046348
25444,United States of America,USA,2021-01-26,30332473.0,24541694.0,5221693.0,2489.0,333889668.0,7.350240619005919
25445,United States of America,USA,2021-01-27,32262551.0,25793261.0,5860434.0,2116.0,333889668.0,7.725085102064315
25446,United States of America,USA,2021-01-28,34221913.0,27164141.0,6408552.0,3533.0,333889668.0,8.135663844500874
25447,United States of America,USA,2021-01-29,36136245.0,28538777.0,6894732.0,3984.0,333889668.0,8.54736750943728
25448,United States of America,USA,2021-01-30,37158758.0,29302452.0,7134361.0,3845.0,333889668.0,8.776088273567064
25449,United States of America,USA,2021-01-31,37622229.0,29629728.0,7258959.0,3256.0,333889668.0,8.87410747912092
25450,United States of America,USA,2021-02-01,39001596.0,30399402.0,7821582.0,2769.0,333889668.0,9.104624944549046
25451,United States of America,USA,2021-02-02,40696367.0,31363219.0,8510059.0,2285.0,333889668.0,9.393288264313707
25452,United States of America,USA,2021-02-03,42838818.0,32628012.0,9333290.0,2272.0,333889668.0,9.77209393613222
25453,United States of America,USA,2021-02-04,45183379.0,34017931.0,10234048.0,2949.0,333889668.0,10.188374861602489
25454,United States of America,USA,2021-02-05,47543905.0,35379642.0,11180443.0,3332.0,333889668.0,10.596207487318834
25455,United States of America,USA,2021-02-06,48846896.0,36234907.0,11597687.0,3108.0,333889668.0,10.852359468637406
25456,United States of America,USA,2021-02-07,49296053.0,36516074.0,11751951.0,3416.0,333889668.0,10.936569022555076
25457,United States of America,USA,2021-02-08,50872525.0,37354098.0,12448970.0,2754.0,333889668.0,11.18755732207922
25458,United States of America,USA,2021-02-09,52845137.0,38394554.0,13332145.0,1816.0,333889668.0,11.499174032542989
25459,United States of America,USA,2021-02-10,55144797.0,39625627.0,14354645.0,1699.0,333889668.0,11.867880559874045
25460,United States of America,USA,2021-02-11,57545017.0,40902756.0,15429299.0,2418.0,333889668.0,12.250380865334233
25461,United States of America,USA,2021-02-12,60128528.0,42283962.0,16574353.0,2814.0,333889668.0,12.664052246144974
25462,United States of America,USA,2021-02-13,61603969.0,43154714.0,17142369.0,3230.0,333889668.0,12.924842586024553
25463,United States of America,USA,2021-02-14,62197666.0,43502874.0,17370368.0,5070.0,333889668.0,13.02911655235765
25464,United States of America,USA,2021-02-15,63376883.0,44118387.0,17900054.0,3272.0,333889668.0,13.213462777770053
25465,United States of America,USA,2021-02-16,64999280.0,44920227.0,18678057.0,1560.0,333889668.0,13.453613964478828
25466,United States of America,USA,2021-02-17,66962982.0,45858777.0,19657135.0,1384.0,333889668.0,13.734709814380958
25467,United States of America,USA,2021-02-18,68821166.0,46700289.0,20618718.0,1421.0,333889668.0,13.986742770369279
25468,United States of America,USA,2021-02-19,70789845.0,47530847.0,21702959.0,2180.0,333889668.0,14.235495001899853
25469,United States of America,USA,2021-02-20,72097113.0,48134890.0,22375127.0,2227.0,333889668.0,14.416405960785825
25470,United States of America,USA,2021-02-21,72693220.0,48394665.0,22692423.0,2418.0,333889668.0,14.494208607856654
25471,United States of America,USA,2021-02-22,74156746.0,49021217.0,23482929.0,1812.0,333889668.0,14.681861015238125
25472,United States of America,USA,2021-02-23,76101248.0,49906849.0,24491108.0,1545.0,333889668.0,14.94710791709793
25473,United States of America,USA,2021-02-24,78629454.0,51168188.0,25703483.0,1502.0,333889668.0,15.324879115456786
25474,United States of America,USA,2021-02-25,81567846.0,52722195.0,27018907.0,1670.0,333889668.0,15.790304418763867
25475,United States of America,USA,2021-02-26,84678919.0,54410876.0,28372350.0,2005.0,333889668.0,16.296064602993347
25476,United States of America,USA,2021-02-27,86675063.0,55565271.0,29174254.0,2924.0,333889668.0,16.641806059120103
25477,United States of America,USA,2021-02-28,87533878.0,56110217.0,29462649.0,1905.0,333889668.0,16.80501745864146
25478,United States of America,USA,2021-03-01,89567106.0,57307913.0,30238915.0,1608.0,333889668.0,17.163727570030712
25479,United States of America,USA,2021-03-02,92030422.0,58781559.0,31182257.0,1084.0,333889668.0,17.605084743143355
25480,United States of America,USA,2021-03-03,94937140.0,60532339.0,32294676.0,1243.0,333889668.0,18.12944358613696
25481,United States of America,USA,2021-03-04,98139609.0,62498253.0,33520795.0,1346.0,333889668.0,18.71823509076058
25482,United States of America,USA,2021-03-05,101369021.0,64511730.0,34808240.0,1549.0,333889668.0,19.32127172021388
25483,United States of America,USA,2021-03-06,103425273.0,65867516.0,35661632.0,1545.0,333889668.0,19.727329807641727
25484,United States of America,USA,2021-03-07,104356357.0,66552428.0,36003022.0,1958.0,333889668.0,19.93246104278974
25485,United States of America,USA,2021-03-08,106520407.0,68040356.0,36845715.0,1268.0,333889668.0,20.37809567680303
25486,United States of America,USA,2021-03-09,109229280.0,69855081.0,37917854.0,906.0,333889668.0,20.921606055806443
25487,United States of America,USA,2021-03-10,112357026.0,71927085.0,39175620.0,825.0,333889668.0,21.542171529548497
25488,United States of America,USA,2021-03-11,115797849.0,74214390.0,40560163.0,1140.0,333889668.0,22.227219681442794
25489,United States of America,USA,2021-03-12,119223184.0,76337849.0,42069961.0,1578.0,333889668.0,22.86319593453248
25490,United States of America,USA,2021-03-13,121418880.0,77731773.0,43081200.0,1315.0,333889668.0,23.28067635803573
25491,United States of America,USA,2021-03-14,122406240.0,78383138.0,43505754.0,1446.0,333889668.0,23.475760262219314
25492,United States of America,USA,2021-03-15,124689931.0,79885074.0,44367052.0,974.0,333889668.0,23.92559029409679
25493,United States of America,USA,2021-03-16,127573291.0,81816199.0,45404154.0,654.0,333889668.0,24.503962488590695
25494,United States of America,USA,2021-03-17,130738718.0,83948917.0,46519178.0,699.0,333889668.0,25.14271181341257
25495,United States of America,USA,2021-03-18,134148151.0,86253210.0,47713175.0,860.0,333889668.0,25.832847873567623
25496,United States of America,USA,2021-03-19,137484908.0,88473364.0,48920975.0,1039.0,333889668.0,26.49778429202547
25497,United States of America,USA,2021-03-20,139642464.0,89892093.0,49772310.0,832.0,333889668.0,26.92269381632977
25498,United States of America,USA,2021-03-21,140667414.0,90581406.0,50140940.0,1194.0,333889668.0,27.12914315156347
