,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
25776,Uruguay,URY,2021-03-29,577491.0,560234.0,17257.0,26.0,3490846.0,16.048659837758525
25777,Uruguay,URY,2021-03-30,629723.0,598438.0,31285.0,14.0,3490846.0,17.143065033519093
25778,Uruguay,URY,2021-03-31,687655.0,636009.0,51646.0,13.0,3490846.0,18.219337089060925
25779,Uruguay,URY,2021-04-01,735731.0,675607.0,60124.0,25.0,3490846.0,19.353675298194197
25780,Uruguay,URY,2021-04-02,784865.0,716034.0,68831.0,21.0,3490846.0,20.511761332353245
25781,Uruguay,URY,2021-04-03,797240.0,728368.0,68872.0,35.0,3490846.0,20.86508542628349
25782,Uruguay,URY,2021-04-04,797260.0,728381.0,68879.0,32.0,3490846.0,20.865457828847216
25783,Uruguay,URY,2021-04-05,835624.0,739155.0,96469.0,30.0,3490846.0,21.1740936151294
25784,Uruguay,URY,2021-04-06,879774.0,762072.0,117702.0,30.0,3490846.0,21.83058204229004
25785,Uruguay,URY,2021-04-07,925943.0,783862.0,142081.0,45.0,3490846.0,22.454786031810045
25786,Uruguay,URY,2021-04-08,974741.0,811364.0,163377.0,45.0,3490846.0,23.24261797856451
25787,Uruguay,URY,2021-04-09,1014545.0,823132.0,191413.0,40.0,3490846.0,23.579728237796804
25788,Uruguay,URY,2021-04-10,1041632.0,841044.0,200588.0,44.0,3490846.0,24.092841677919914
25789,Uruguay,URY,2021-04-11,1042009.0,841413.0,200596.0,88.0,3490846.0,24.10341218145974
25790,Uruguay,URY,2021-04-12,1095244.0,887259.0,207985.0,51.0,3490846.0,25.416732791993688
25791,Uruguay,URY,2021-04-13,1152535.0,934537.0,217998.0,48.0,3490846.0,26.771074977240477
25792,Uruguay,URY,2021-04-14,1210287.0,982401.0,227886.0,71.0,3490846.0,28.14220392420634
25793,Uruguay,URY,2021-04-15,1274025.0,1013285.0,260740.0,62.0,3490846.0,29.0269178302337
25794,Uruguay,URY,2021-04-16,1336912.0,1042895.0,294017.0,51.0,3490846.0,29.87513628501515
25795,Uruguay,URY,2021-04-17,1372159.0,1068650.0,303509.0,80.0,3490846.0,30.61292305647399
25796,Uruguay,URY,2021-04-18,1388264.0,1084715.0,303549.0,62.0,3490846.0,31.07312668619584
25797,Uruguay,URY,2021-04-19,1427203.0,1092588.0,334615.0,60.0,3490846.0,31.298659408063266
25798,Uruguay,URY,2021-04-20,1473041.0,1102693.0,370348.0,60.0,3490846.0,31.588130785488683
25799,Uruguay,URY,2021-04-21,1519804.0,1112136.0,407668.0,63.0,3490846.0,31.858638278514718
25800,Uruguay,URY,2021-04-22,1571127.0,1121176.0,449951.0,51.0,3490846.0,32.11760129206502
25801,Uruguay,URY,2021-04-23,1622381.0,1133230.0,489151.0,61.0,3490846.0,32.462904407699455
25802,Uruguay,URY,2021-04-24,1644733.0,1142836.0,501897.0,77.0,3490846.0,32.7380812559477
25803,Uruguay,URY,2021-04-25,1645261.0,1143342.0,501919.0,67.0,3490846.0,32.75257630958226
25804,Uruguay,URY,2021-04-26,1690571.0,1152090.0,538481.0,56.0,3490846.0,33.00317458862408
25805,Uruguay,URY,2021-04-27,1735686.0,1159977.0,575709.0,43.0,3490846.0,33.22910835940629
25806,Uruguay,URY,2021-04-28,1780049.0,1167691.0,612358.0,65.0,3490846.0,33.450086311455735
25807,Uruguay,URY,2021-04-29,1826278.0,1175325.0,650953.0,61.0,3490846.0,33.66877255542066
25808,Uruguay,URY,2021-04-30,1874181.0,1183313.0,690868.0,45.0,3490846.0,33.89759960765958
25809,Uruguay,URY,2021-05-01,1874375.0,1183469.0,690906.0,66.0,3490846.0,33.90206843842438
25810,Uruguay,URY,2021-05-02,1874612.0,1183680.0,690932.0,53.0,3490846.0,33.908112818497294
25811,Uruguay,URY,2021-05-03,1907287.0,1196991.0,710296.0,53.0,3490846.0,34.289424397409675
25812,Uruguay,URY,2021-05-04,1941333.0,1209103.0,732230.0,55.0,3490846.0,34.63638900140539
25813,Uruguay,URY,2021-05-05,1973841.0,1219688.0,754153.0,72.0,3490846.0,34.9396106273379
25814,Uruguay,URY,2021-05-06,2010485.0,1229768.0,780717.0,65.0,3490846.0,35.2283658459869
25815,Uruguay,URY,2021-05-07,2029643.0,1239115.0,790528.0,57.0,3490846.0,35.496123289311534
25816,Uruguay,URY,2021-05-08,2036794.0,1242856.0,793938.0,54.0,3490846.0,35.6032892886137
25817,Uruguay,URY,2021-05-09,2037179.0,1242893.0,794286.0,60.0,3490846.0,35.604349203602794
25818,Uruguay,URY,2021-05-10,2081500.0,1250409.0,831091.0,50.0,3490846.0,35.819655178143066
25819,Uruguay,URY,2021-05-11,2124609.0,1256837.0,867772.0,40.0,3490846.0,36.00379392273392
25820,Uruguay,URY,2021-05-12,2169194.0,1263989.0,905205.0,49.0,3490846.0,36.20867262548963
25821,Uruguay,URY,2021-05-13,2231860.0,1301870.0,929990.0,37.0,3490846.0,37.293825049858974
25822,Uruguay,URY,2021-05-14,2292370.0,1343075.0,949295.0,44.0,3490846.0,38.47419794513995
25823,Uruguay,URY,2021-05-15,2313821.0,1361421.0,952400.0,66.0,3490846.0,38.999743901621564
25824,Uruguay,URY,2021-05-16,2314579.0,1362078.0,952501.0,51.0,3490846.0,39.018564554265645
25825,Uruguay,URY,2021-05-17,2368001.0,1410447.0,957554.0,50.0,3490846.0,40.40415990851501
25826,Uruguay,URY,2021-05-18,2419943.0,1455018.0,964925.0,40.0,3490846.0,41.680956421451995
25827,Uruguay,URY,2021-05-19,2464015.0,1492612.0,971403.0,62.0,3490846.0,42.757887343068134
25828,Uruguay,URY,2021-05-20,2511928.0,1533976.0,977952.0,57.0,3490846.0,43.94281500816707
25829,Uruguay,URY,2021-05-21,2561440.0,1576912.0,984528.0,60.0,3490846.0,45.17277473712676
25830,Uruguay,URY,2021-05-22,2576186.0,1589157.0,987029.0,53.0,3490846.0,45.52354930581298
25831,Uruguay,URY,2021-05-23,2577727.0,1590189.0,987538.0,69.0,3490846.0,45.553112340103226
25832,Uruguay,URY,2021-05-24,2619459.0,1627224.0,992235.0,51.0,3490846.0,46.61402995147881
25833,Uruguay,URY,2021-05-25,2658473.0,1662503.0,995970.0,60.0,3490846.0,47.624644570399276
25834,Uruguay,URY,2021-05-26,2696966.0,1697750.0,999216.0,51.0,3490846.0,48.63434250608592
25835,Uruguay,URY,2021-05-27,2736536.0,1733282.0,1003254.0,51.0,3490846.0,49.65220465182365
25836,Uruguay,URY,2021-05-28,2773740.0,1765598.0,1008142.0,49.0,3490846.0,50.57794013256386
25837,Uruguay,URY,2021-05-29,2798770.0,1777376.0,1021394.0,44.0,3490846.0,50.91533685530671
25838,Uruguay,URY,2021-05-30,2800174.0,1778633.0,1021541.0,52.0,3490846.0,50.95134531858465
25839,Uruguay,URY,2021-05-31,2846503.0,1814347.0,1032156.0,58.0,3490846.0,51.974421100214684
25840,Uruguay,URY,2021-06-01,2892442.0,1849684.0,1042758.0,37.0,3490846.0,52.986697207496405
25841,Uruguay,URY,2021-06-02,2937522.0,1883973.0,1053549.0,63.0,3490846.0,53.96895193887097
25842,Uruguay,URY,2021-06-03,2982041.0,1918038.0,1064003.0,66.0,3490846.0,54.9447898876089
25843,Uruguay,URY,2021-06-04,3025973.0,1951893.0,1074080.0,52.0,3490846.0,55.91461210262498
25844,Uruguay,URY,2021-06-05,3040741.0,1964029.0,1076712.0,66.0,3490846.0,56.26226421904605
