,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26104,Viet Nam,VNM,2021-04-30,519262.0,509855.0,9407.0,0.0,98584024.0,0.5171781180285357
26105,Viet Nam,VNM,2021-05-14,969697.0,948655.0,21042.0,0.0,98584024.0,0.9622806632441784
26106,Viet Nam,VNM,2021-05-15,977032.0,954520.0,22512.0,0.0,98584024.0,0.9682299030520404
26107,Viet Nam,VNM,2021-05-16,979238.0,956677.0,22561.0,1.0,98584024.0,0.9704178843419904
26108,Viet Nam,VNM,2021-05-18,1011395.0,982543.0,28852.0,0.0,98584024.0,0.9966554012848978
26109,Viet Nam,VNM,2021-05-22,1027659.0,998698.0,28961.0,2.0,98584024.0,1.0130424377889058
26110,Viet Nam,VNM,2021-05-26,1034867.0,1005906.0,28961.0,0.0,98584024.0,1.0203539672919009
26111,Viet Nam,VNM,2021-05-31,1102099.0,1071497.0,30602.0,0.0,98584024.0,1.0868870599155094
26112,Viet Nam,VNM,2021-06-02,1110111.0,1078934.0,31177.0,1.0,98584024.0,1.094430878577243
26113,Viet Nam,VNM,2021-06-03,1156056.0,1124505.0,31551.0,1.0,98584024.0,1.1406564211661718
26114,Viet Nam,VNM,2021-06-04,1217607.0,1185206.0,32401.0,0.0,98584024.0,1.2022292780420487
26115,Viet Nam,VNM,2021-06-05,1243304.0,1209672.0,33632.0,2.0,98584024.0,1.2270466865909226
26116,Viet Nam,VNM,2021-06-06,1248559.0,1214916.0,33643.0,2.0,98584024.0,1.2323660068897169
26117,Viet Nam,VNM,2021-06-07,1340098.0,1301932.0,38166.0,0.0,98584024.0,1.3206318297577302
26118,Viet Nam,VNM,2021-06-08,1354856.0,1312741.0,42115.0,1.0,98584024.0,1.3315960809228076
26119,Viet Nam,VNM,2021-06-09,1389887.0,1342708.0,47179.0,2.0,98584024.0,1.3619935010970945
26120,Viet Nam,VNM,2021-06-10,1411548.0,1361525.0,50023.0,0.0,98584024.0,1.3810807722760434
26121,Viet Nam,VNM,2021-06-11,1445723.0,1392596.0,53127.0,0.0,98584024.0,1.4125980493553398
26122,Viet Nam,VNM,2021-06-12,1454221.0,1399836.0,54385.0,2.0,98584024.0,1.41994203847877
26123,Viet Nam,VNM,2021-06-13,1498323.0,1443058.0,55265.0,1.0,98584024.0,1.4637848420551387
26124,Viet Nam,VNM,2021-06-14,1552651.0,1493043.0,59608.0,1.0,98584024.0,1.5144877835378276
26125,Viet Nam,VNM,2021-06-15,1648072.0,1584436.0,63636.0,0.0,98584024.0,1.6071934738634732
26126,Viet Nam,VNM,2021-06-16,1773297.0,1700972.0,72325.0,2.0,98584024.0,1.7254032965828214
26127,Viet Nam,VNM,2021-06-17,1991059.0,1901226.0,89833.0,0.0,98584024.0,1.9285335725390964
26128,Viet Nam,VNM,2021-06-18,2233208.0,2127352.0,105856.0,0.0,98584024.0,2.1579074516171097
26129,Viet Nam,VNM,2021-06-19,2359376.0,2244061.0,115315.0,1.0,98584024.0,2.2762927591594355
26130,Viet Nam,VNM,2021-06-20,2422643.0,2300960.0,121683.0,2.0,98584024.0,2.3340090073823725
26131,Viet Nam,VNM,2021-06-22,2569156.0,2435313.0,133843.0,4.0,98584024.0,2.4702917381420746
26132,Viet Nam,VNM,2021-06-23,2626337.0,2488655.0,137682.0,0.0,98584024.0,2.5243998966810284
26133,Viet Nam,VNM,2021-06-24,2920248.0,2777127.0,143121.0,1.0,98584024.0,2.8170152599979086
26134,Viet Nam,VNM,2021-06-25,3087580.0,2937264.0,150316.0,3.0,98584024.0,2.9794523299231535
26135,Viet Nam,VNM,2021-06-26,3299232.0,3143744.0,155488.0,2.0,98584024.0,3.188898030780322
26136,Viet Nam,VNM,2021-06-27,3386607.0,3229471.0,157136.0,0.0,98584024.0,3.275856339562686
