,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26253,Wallis and Futuna,WLF,2021-04-27,5638.0,4150.0,1488.0,0.0,11094.0,37.407607715882456
26254,Wallis and Futuna,WLF,2021-05-04,5704.0,4216.0,1488.0,0.0,11094.0,38.00252388678565
26255,Wallis and Futuna,WLF,2021-05-11,5774.0,4286.0,1488.0,0.0,11094.0,38.63349558319813
26256,Wallis and Futuna,WLF,2021-05-18,8175.0,4321.0,3854.0,0.0,11094.0,38.94898143140436
26257,Wallis and Futuna,WLF,2021-05-25,8283.0,4352.0,3931.0,0.0,11094.0,39.228411754101316
26258,Wallis and Futuna,WLF,2021-06-01,8365.0,4374.0,3991.0,0.0,11094.0,39.42671714440238
26259,Wallis and Futuna,WLF,2021-06-08,8564.0,4445.0,4119.0,0.0,11094.0,40.066702722192176
26260,Wallis and Futuna,WLF,2021-06-15,8657.0,4470.0,4187.0,0.0,11094.0,40.292049756625204
26261,Wallis and Futuna,WLF,2021-06-21,8834.0,4532.0,4302.0,0.0,11094.0,40.85091040201911
26262,Wallis and Futuna,WLF,2021-06-29,8933.0,4565.0,4368.0,0.0,11094.0,41.14836848747071
26263,Wallis and Futuna,WLF,2021-07-06,8962.0,4569.0,4393.0,0.0,11094.0,41.184424012979996
26264,Wallis and Futuna,WLF,2021-07-13,9112.0,4610.0,4502.0,0.0,11094.0,41.55399314945015
26265,Wallis and Futuna,WLF,2021-07-20,9158.0,4629.0,4529.0,0.0,11094.0,41.725256895619246
26266,Wallis and Futuna,WLF,2021-08-02,9372.0,4734.0,4638.0,0.0,11094.0,42.67171444023797
26267,Wallis and Futuna,WLF,2021-08-09,9439.0,4780.0,4659.0,0.0,11094.0,43.08635298359473
26268,Wallis and Futuna,WLF,2021-08-16,9534.0,4821.0,4713.0,0.0,11094.0,43.4559221200649
26269,Wallis and Futuna,WLF,2021-08-23,9676.0,4899.0,4777.0,0.0,11094.0,44.159004867495945
26270,Wallis and Futuna,WLF,2021-08-31,9801.0,4952.0,4849.0,0.0,11094.0,44.636740580493964
26271,Wallis and Futuna,WLF,2021-09-14,9902.0,4952.0,4950.0,0.0,11094.0,44.636740580493964
26272,Wallis and Futuna,WLF,2021-09-21,10231.0,5215.0,5016.0,0.0,11094.0,47.007391382729395
26273,Wallis and Futuna,WLF,2021-09-28,10438.0,5366.0,5072.0,0.0,11094.0,48.36848747070489
26274,Wallis and Futuna,WLF,2021-10-05,10843.0,5679.0,5164.0,0.0,11094.0,51.189832341806394
26275,Wallis and Futuna,WLF,2021-10-12,11009.0,5749.0,5260.0,0.0,11094.0,51.82080403821886
26276,Wallis and Futuna,WLF,2021-10-18,11102.0,5781.0,5321.0,0.0,11094.0,52.10924824229313
26277,Wallis and Futuna,WLF,2021-10-25,11361.0,5897.0,5464.0,0.0,11094.0,53.154858482062366
26278,Wallis and Futuna,WLF,2021-11-01,11577.0,5938.0,5639.0,0.0,11094.0,53.52442761853254
26279,Wallis and Futuna,WLF,2021-11-08,11774.0,5966.0,5808.0,0.0,11094.0,53.77681629709753
26280,Wallis and Futuna,WLF,2021-11-15,11858.0,5988.0,5870.0,0.0,11094.0,53.975121687398605
26281,Wallis and Futuna,WLF,2021-11-22,11903.0,6001.0,5902.0,0.0,11094.0,54.092302145303776
26282,Wallis and Futuna,WLF,2021-11-30,11939.0,6016.0,5923.0,0.0,11094.0,54.227510365963575
