,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26283,Yemen,YEM,2021-07-12,297405.0,288828.0,8577.0,0.0,30824630.0,0.9370039478170542
26284,Yemen,YEM,2021-07-27,311483.0,298161.0,13322.0,1.0,30824630.0,0.9672816835108808
26285,Yemen,YEM,2021-09-12,322934.0,308025.0,14909.0,8.0,30824630.0,0.9992820676193032
26286,Yemen,YEM,2021-10-11,460159.0,319710.0,143761.0,3.0,30824630.0,1.0371900652173278
26287,Yemen,YEM,2021-10-28,534590.0,327016.0,192413.0,10.0,30824630.0,1.0608918906731402
26288,Yemen,YEM,2021-11-01,547019.0,331778.0,215241.0,9.0,30824630.0,1.0763405757019628
26289,Yemen,YEM,2021-11-14,746557.0,527869.0,344333.0,2.0,30824630.0,1.7124909528516643
26290,Yemen,YEM,2021-11-17,754397.0,534259.0,349292.0,3.0,30824630.0,1.733221128688325
26291,Yemen,YEM,2021-11-21,759220.0,537397.0,353822.0,3.0,30824630.0,1.7434012995452015
26292,Yemen,YEM,2021-11-28,774953.0,548933.0,361351.0,2.0,30824630.0,1.7808259174562682
26293,Yemen,YEM,2021-12-02,786027.0,556652.0,366587.0,0.0,30824630.0,1.805867580567877
