,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26364,Zimbabwe,ZWE,2021-03-22,44120.0,43840.0,280.0,2.0,15209563.0,0.28823970813625616
26365,Zimbabwe,ZWE,2021-03-23,45743.0,44681.0,1062.0,2.0,15209563.0,0.2937691240701656
26366,Zimbabwe,ZWE,2021-03-24,52439.0,49950.0,2489.0,2.0,15209563.0,0.3284118024955747
26367,Zimbabwe,ZWE,2021-03-25,59533.0,55438.0,4095.0,0.0,15209563.0,0.3644943644994929
26368,Zimbabwe,ZWE,2021-03-26,68208.0,61639.0,6569.0,2.0,15209563.0,0.4052647666471417
26369,Zimbabwe,ZWE,2021-03-27,73977.0,66012.0,7965.0,0.0,15209563.0,0.4340164145412988
26370,Zimbabwe,ZWE,2021-03-28,79685.0,69057.0,10628.0,1.0,15209563.0,0.4540367136123503
26371,Zimbabwe,ZWE,2021-03-29,82156.0,70297.0,11859.0,1.0,15209563.0,0.4621894790797079
26372,Zimbabwe,ZWE,2021-03-30,86412.0,73490.0,12922.0,0.0,15209563.0,0.4831828501581538
26373,Zimbabwe,ZWE,2021-03-31,92426.0,77541.0,14885.0,1.0,15209563.0,0.5098174089551423
26374,Zimbabwe,ZWE,2021-04-01,105853.0,88337.0,17516.0,2.0,15209563.0,0.5807990670080396
26375,Zimbabwe,ZWE,2021-04-02,125299.0,104361.0,20938.0,0.0,15209563.0,0.6861538362410544
26376,Zimbabwe,ZWE,2021-04-03,133461.0,112134.0,21327.0,1.0,15209563.0,0.7372598410618372
26377,Zimbabwe,ZWE,2021-04-04,139446.0,117843.0,21603.0,0.0,15209563.0,0.7747954362659861
26378,Zimbabwe,ZWE,2021-04-05,146056.0,124000.0,22056.0,1.0,15209563.0,0.8152765467357609
26379,Zimbabwe,ZWE,2021-04-06,162633.0,139133.0,23500.0,0.0,15209563.0,0.9147731594918276
26380,Zimbabwe,ZWE,2021-04-07,179417.0,153238.0,26179.0,6.0,15209563.0,1.0075108666830206
26381,Zimbabwe,ZWE,2021-04-08,181700.0,154566.0,27134.0,0.0,15209563.0,1.016242215506126
26382,Zimbabwe,ZWE,2021-04-09,194228.0,166260.0,27968.0,1.0,15209563.0,1.0931280537119967
26383,Zimbabwe,ZWE,2021-04-10,210756.0,181959.0,28797.0,3.0,15209563.0,1.1963460094152607
26384,Zimbabwe,ZWE,2021-04-11,211515.0,182617.0,28898.0,3.0,15209563.0,1.2006722349616488
26385,Zimbabwe,ZWE,2021-04-12,222602.0,193298.0,29304.0,0.0,15209563.0,1.2708977897655571
26386,Zimbabwe,ZWE,2021-04-13,250151.0,219655.0,30496.0,4.0,15209563.0,1.444190079622932
26387,Zimbabwe,ZWE,2021-04-15,292724.0,257755.0,34969.0,5.0,15209563.0,1.6946903734183554
26388,Zimbabwe,ZWE,2021-04-17,299924.0,264118.0,35806.0,0.0,15209563.0,1.7365258949254492
26389,Zimbabwe,ZWE,2021-04-18,305014.0,268591.0,36423.0,2.0,15209563.0,1.7659350239056837
26390,Zimbabwe,ZWE,2021-04-20,313030.0,276252.0,36778.0,0.0,15209563.0,1.8163046499100601
26391,Zimbabwe,ZWE,2021-04-21,332929.0,295584.0,37345.0,1.0,15209563.0,1.9434088934705092
26392,Zimbabwe,ZWE,2021-04-22,332929.0,295584.0,37345.0,1.0,15209563.0,1.9434088934705092
26393,Zimbabwe,ZWE,2021-04-23,347115.0,307245.0,39870.0,0.0,15209563.0,2.0200777629179747
26394,Zimbabwe,ZWE,2021-04-24,371717.0,324486.0,47231.0,1.0,15209563.0,2.133434076968549
26395,Zimbabwe,ZWE,2021-04-25,389636.0,336598.0,53038.0,0.0,15209563.0,2.213068186114223
26396,Zimbabwe,ZWE,2021-04-26,411228.0,353832.0,57396.0,1.0,15209563.0,2.326378476488772
26397,Zimbabwe,ZWE,2021-04-27,433917.0,370674.0,63243.0,3.0,15209563.0,2.4371114410058987
26398,Zimbabwe,ZWE,2021-04-28,457991.0,388019.0,69972.0,5.0,15209563.0,2.5511515353859937
26399,Zimbabwe,ZWE,2021-04-29,500320.0,414733.0,85587.0,0.0,15209563.0,2.7267910327206644
26400,Zimbabwe,ZWE,2021-05-01,520277.0,428133.0,92144.0,0.0,15209563.0,2.8148934982550116
26401,Zimbabwe,ZWE,2021-05-02,524177.0,430066.0,94111.0,1.0,15209563.0,2.8276026076488847
26402,Zimbabwe,ZWE,2021-05-03,537494.0,437749.0,99745.0,2.0,15209563.0,2.8781168794921985
26403,Zimbabwe,ZWE,2021-05-04,559755.0,452189.0,107566.0,3.0,15209563.0,2.9730571483217503
