ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;mortality_rate;recovery_rate
3172051003;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;1960;2;1921;27;0,01377551;0,980102041
3173041007;DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;1859;1;1811;34;0,018289403;0,974179666
3175041005;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;2143;0;2105;34;0,015865609;0,982267849
3175031003;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;873;1;847;18;0,020618557;0,97021764
3175101006;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;3026;1;2988;31;0,010244547;0,987442168
3174031002;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;1962;4;1919;28;0,014271152;0,978083588
3175051002;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;2693;3;2643;41;0,015224657;0,981433346
3175041004;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;3848;6;3747;77;0,020010395;0,973752599
3171071002;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;2103;4;2047;40;0,019020447;0,973371374
3175031002;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;3052;3;2974;63;0,020642202;0,974442988
3174101002;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;3945;5;3819;82;0,020785805;0,968060837
3174011005;DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;2403;1;2354;33;0,013732834;0,979608822
3171041006;DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;1449;2;1414;26;0,017943409;0,975845411
3175061007;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;2118;2;2082;27;0,012747875;0,983002833
3175061004;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;2910;4;2847;55;0,018900344;0,978350515
3175041007;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;3219;2;3169;42;0,01304753;0,984467226
3175101008;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;2087;2;2049;30;0,014374701;0,981792046
3171031006;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;3046;5;2959;66;0,021667761;0,971437951
3171051002;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;4153;3;4058;76;0,018300024;0,97712497
3171051001;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;3121;4;3051;54;0,017302147;0,977571291
3173011001;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;5654;5;5529;104;0,018394057;0,977891758
3173011006;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;6056;6;5924;108;0,017833554;0,978203435
3175091002;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;5991;7;5884;75;0,012518778;0,982139876
3171011002;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;1769;4;1725;31;0,017524025;0,975127191
3174091003;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;4076;8;4002;54;0,013248283;0,981844946
3175051003;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;3929;3;3833;84;0,021379486;0,975566302
3171061003;DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;722;3;699;14;0,019390582;0,968144044
3174081006;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;1144;3;1121;13;0,011363636;0,979895105
3174061001;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;5451;7;5341;67;0,012291323;0,979820216
3174041003;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;2909;3;2859;32;0,011000344;0,982811963
