ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3172051003;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;1960;2;1921;27;10;
3173041007;DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;1859;1;1811;34;13;
3175041005;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;2143;0;2105;34;4;
3175031003;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;873;1;847;18;7;
3175101006;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;3026;1;2988;31;6;
3174031002;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;1962;4;1919;28;11;
3175051002;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;2693;3;2643;41;6;
3175041004;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;3848;6;3747;77;18;
3171071002;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;2103;4;2047;40;12;
3175031002;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;3052;3;2974;63;12;
3174101002;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;3945;5;3819;82;39;
3174011005;DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;2403;1;2354;33;15;
3171041006;DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;1449;2;1414;26;7;
3175061007;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;2118;2;2082;27;7;
3175061004;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;2910;4;2847;55;4;
3175041007;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;3219;2;3169;42;6;
3175101008;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;2087;2;2049;30;6;
3171031006;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;3046;5;2959;66;16;
3171051002;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;4153;3;4058;76;16;
3171051001;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;3121;4;3051;54;12;
3173011001;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;5654;5;5529;104;16;
3173011006;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;6056;6;5924;108;18;
3175091002;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;5991;7;5884;75;25;
3171011002;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;1769;4;1725;31;9;
3174091003;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;4076;8;4002;54;12;
3175051003;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;3929;3;3833;84;9;
3171061003;DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;722;3;699;14;6;
3174081006;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;1144;3;1121;13;7;
3174061001;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;5451;7;5341;67;36;
3174041003;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;2909;3;2859;32;15;
3175101002;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CILANGKAP;3325;2;3285;31;7;
3175041006;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CILILITAN;3515;0;3431;70;14;
3172041001;DKI JAKARTA;JAKARTA UTARA;CILINCING;CILINCING;2559;1;2503;55;0;
3175101001;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CIPAYUNG;3581;2;3536;39;4;
3174091006;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIPEDAK;3372;2;3309;50;11;
3174061005;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CIPETE SELATAN;2461;3;2388;48;22;
3174071010;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;CIPETE UTARA;2848;3;2773;51;21;
3175021003;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;CIPINANG;3624;8;3530;76;10;
3175031007;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR SELATAN;2621;7;2557;44;13;
3175031008;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;2803;3;2735;57;8;
3175031005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;2599;0;2540;54;5;
3175081005;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;3431;2;3349;70;10;
3175031006;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG MUARA;4906;5;4769;113;19;
3174051003;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;CIPULIR;2736;2;2668;54;12;
3175091001;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIRACAS;5825;4;5691;113;17;
3175041003;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;DUKUH;2119;0;2078;37;4;
